municipality,year,all_female_records,lesao_corporal,violencia_domestica_lesao,estupro,estupro_vulneravel,violencia_sexual,homicidio_mulher,feminicidio,tentativa_feminicidio,selected_vaw_records
TOME-ACU,2022,537,157,110,9,61,70,2,1,0,181
TRACUATEUA,2022,117,30,23,0,13,13,0,0,0,36
TRAIRAO,2022,75,21,12,2,14,16,0,0,0,28
TUCUMA,2022,233,14,11,0,14,14,4,1,0,26
TUCURUI,2022,1022,213,136,8,58,66,3,2,0,204
ULIANOPOLIS,2022,135,38,28,5,14,19,0,0,0,47
URUARA,2022,212,62,52,3,10,13,4,0,0,65
VIGIA,2022,247,59,36,3,23,26,1,0,0,62
VISEU,2022,164,53,36,2,13,15,1,0,0,51
VITORIA DO XINGU,2022,169,58,46,3,23,26,1,0,0,72
XINGUARA,2022,324,92,72,6,24,30,1,0,0,102
ABAETETUBA,2023,1067,338,223,17,82,99,2,0,0,322
ABEL FIGUEIREDO,2023,38,23,15,1,0,1,2,0,0,16
ACARA,2023,235,97,61,3,40,43,1,0,0,104
AFUA,2023,161,44,21,3,17,20,4,2,0,43
AGUA AZUL DO NORTE,2023,56,18,14,3,5,8,0,0,0,22
ALENQUER,2023,277,55,28,5,22,27,0,0,0,55
ALMEIRIM,2023,198,68,41,2,12,14,1,1,0,56
ALTAMIRA,2023,861,320,230,17,64,81,7,1,0,312
ANAJAS,2023,155,68,40,4,17,21,0,0,0,61
ANANINDEUA,2023,6917,991,603,60,193,253,13,4,0,860
ANAPU,2023,167,44,35,4,24,28,1,1,0,64
AUGUSTO CORREA,2023,209,56,44,1,21,22,0,0,0,66
AURORA DO PARA,2023,88,20,12,5,12,17,2,0,0,29
AVEIRO,2023,34,11,10,1,13,14,0,0,0,24
BAGRE,2023,166,43,28,4,31,35,0,0,0,63
BAIAO,2023,267,78,51,5,16,21,0,0,0,72
BANNACH,2023,18,13,12,0,1,1,0,0,0,13
BARCARENA,2023,1037,259,186,16,66,82,5,1,0,269
BELEM,2023,21523,3128,1876,145,493,638,24,6,0,2520
BELTERRA,2023,95,30,15,1,12,13,0,0,0,28
BENEVIDES,2023,606,118,82,2,29,31,1,0,0,113
BOM JESUS DO TOCANTINS,2023,94,31,25,0,15,15,0,0,0,40
BONITO,2023,44,16,12,2,4,6,0,0,0,18
BRAGANCA,2023,895,190,115,6,57,63,1,0,0,178
BRASIL NOVO,2023,121,58,41,5,18,23,0,0,0,64
BREJO GRANDE DO ARAGUAIA,2023,24,12,8,0,1,1,0,0,0,9
BREU BRANCO,2023,191,76,58,1,18,19,1,0,0,77
BREVES,2023,654,176,98,17,68,85,1,1,0,184
BUJARU,2023,89,29,18,5,13,18,0,0,0,36
CACHOEIRA DO ARARI,2023,170,67,41,0,28,28,1,0,0,69
CACHOEIRA DO PIRIA,2023,45,16,10,2,8,10,0,0,0,20
CAMETA,2023,739,237,146,12,69,81,4,2,0,229
CANAA DOS CARAJAS,2023,566,212,161,8,44,52,3,0,0,213
CAPANEMA,2023,429,116,84,4,29,33,2,1,0,118
CAPITAO POCO,2023,156,57,41,3,24,27,0,0,0,68
CASTANHAL,2023,2457,388,277,31,104,135,3,0,0,412
CHAVES,2023,76,33,22,7,22,29,0,0,0,51
COLARES,2023,61,20,15,3,2,5,0,0,0,20
CONCEICAO DO ARAGUAIA,2023,347,130,82,3,26,29,2,0,0,111
CONCORDIA DO PARA,2023,200,70,51,4,13,17,2,0,0,68
CUMARU DO NORTE,2023,47,25,18,2,5,7,1,0,0,25
CURIONOPOLIS,2023,121,50,37,5,7,12,2,1,0,50
CURRALINHO,2023,186,66,39,8,11,19,0,0,0,58
CURUA,2023,49,27,19,2,1,3,0,0,0,22
