UF,Município,Nome do Serviço,Categoria Padronizada,Telefone,Endereço do Serviço,Situação da Transcrição,Observações
PA,Porto de Moz,Hospital Municipal Ana Nery,Serviço de Saúde,(91) 3793-1193,"Rua da República, 1780, Centro",Completo,
PA,Redenção,Delegacia Especializada de Atendimento à Mulher (DEAM),Delegacia especializada,94-9662-2306,"Av. Jeremias Lunardelli, 549, Redenção/PA",Completo,
PA,Redenção,Hospital Municipal Dr. Pedro Paulo Barcaui,Serviço de Saúde,(94) 3424-0203,"Av. Belo Horizonte, s/n, Capuava II",Completo,
PA,Rio Maria,Unidade de Acolhimento Casa Lar Marias do Amor,Casa Abrigo/Acolhimento,SIGILOSO,SIGILOSO,Sigiloso,
PA,Rurópolis,Centro de Testagem e Aconselhamento (CTA),Serviço de Saúde,N/I,"Rua Ministro Sérgio Mota, s/n, Centro, próximo à garagem municipal",Completo,
PA,Rurópolis,Hospital Municipal de Rurópolis,Serviço de Saúde,(93) 3543-1688,"Dr. Osvaldo Cruz, entre Pres. Médici e Av. Brasil, 80, Centro",Completo,
PA,Santana do Araguaia,Hospital Municipal São Francisco de Assis,Serviço de Saúde,(94) 3431-1237,"Av. Vinícius de Freitas, s/n, Bel Recanto",Completo,
PA,Santarém,Casa Abrigo Estadual,Casa Abrigo,SIGILOSO,SIGILOSO,Sigiloso,
PA,Santarém,Centro de Referência Especializado de Atendimento à Mulher,Centro de Referência,(93) 9916-00080,"Rua Magnólia, Aeroporto Velho",Completo,
PA,Santarém,Delegacia da Mulher,Delegacia especializada,(91) 98567-1581,"4ª Rua, entre Travessa 14 e 15, Bairro Centro, Soure/PA",Possível inconsistência,O endereço visível menciona Soure/PA; conferir associação.
PA,Santarém,Patrulha Maria da Penha,Patrulha Maria da Penha,N/I,N/I,Sem endereço,
PA,Santarém,Vara do Juizado de Violência Doméstica e Familiar contra a Mulher,Juizado/Vara especializada,(93) 3064-9234,"Avenida Mendonça Furtado, s/n",Completo,
PA,Soure,Delegacia da Mulher,Delegacia especializada,(91) 98567-1581,"4ª Rua, entre Travessa 14 e 15, Bairro Centro, Soure/PA",Completo,
PA,São Félix do Xingu,DEAM São Félix do Xingu,Delegacia especializada,(94) 98408-1425,"Av. Antônio Marques Ribeiro, esquina com Tv. Antônio Nunes, s/n",Completo,
PA,Tucuruí,Centro de Referência Maria do Pará - Propaz Tucuruí,Centro de Referência,(94) 3787-3340,"Rua São Paulo, s/n, Bela Vista",Completo,
PA,Tucuruí,Delegacia Especializada de Atendimento à Mulher (DEAM),Delegacia especializada,(91) 98561-6817,"Rua São Paulo, ao lado da creche Menino Deus, Bairro Bela Vista, Tucuruí/PA",Completo,
PA,Viseu,Unidade Básica de Saúde Vila do Japim,Serviço de Saúde,N/I,"Zona Rural, s/n, Centro",Completo,
PA,Viseu,Unidade Básica de Saúde do Mangueirão,Serviço de Saúde,N/I,"Rua Treze de Maio, s/n, Mangueirão",Completo,
PA,Xinguara,Centro de Referência de Atendimento à Mulher (CRAM) Maria do Pará,Centro de Referência,(94) 9919-39015,"Rua Pedro Álvares Cabral, nº 10, Setor Selecta",Completo,
PA,Xinguara,Unidade de Pronto Atendimento de Xinguara,Serviço de Saúde,(94) 3426-4736,"BR-155, esquina com Avenida Hermes Dantas, s/n, Centro",Completo,
