municipality_code,municipality,seat_query,seat_latitude,seat_longitude,seat_geocoding_confidence,seat_geocoding_note,seat_display_name
1507201,São Domingos do Capim,"São Domingos do Capim, Pará, Brasil",-1.6789331,-47.7717815,high,Municipality and Pará matched,"São Domingos do Capim, Pará, Região Norte, 68635-000, Brasil"
1507300,São Félix do Xingu,"São Félix do Xingu, Pará, Brasil",-6.6386974,-51.9787582,high,Municipality and Pará matched,"São Félix do Xingu, Pará, Região Norte, 68380-000, Brasil"
1507409,São Francisco do Pará,"São Francisco do Pará, Pará, Brasil",-1.1693995,-47.7972589,high,Municipality and Pará matched,"São Francisco do Pará, Pará, Região Norte, Brasil"
1507458,São Geraldo do Araguaia,"São Geraldo do Araguaia, Pará, Brasil",-6.3927847,-48.5630137,high,Municipality and Pará matched,"São Geraldo do Araguaia, Pará, Região Norte, 68570-000, Brasil"
1507466,São João da Ponta,"São João da Ponta, Pará, Brasil",-0.8526516,-47.9224095,high,Municipality and Pará matched,"São João da Ponta, Pará, Região Norte, 68774-000, Brasil"
1507474,São João de Pirabas,"São João de Pirabas, Pará, Brasil",-0.7733182,-47.1771012,high,Municipality and Pará matched,"São João de Pirabas, Pará, Região Norte, 68719-000, Brasil"
1507508,São João do Araguaia,"São João do Araguaia, Pará, Brasil",-5.3617017,-48.7911109,high,Municipality and Pará matched,"São João do Araguaia, Pará, Região Norte, 68518-000, Brasil"
1507607,São Miguel do Guamá,"São Miguel do Guamá, Pará, Brasil",-1.6116804,-47.4757551,high,Municipality and Pará matched,"São Miguel do Guamá, Pará, Região Norte, 68660-000, Brasil"
1507706,São Sebastião da Boa Vista,"São Sebastião da Boa Vista, Pará, Brasil",-1.7182884,-49.5319955,high,Municipality and Pará matched,"São Sebastião da Boa Vista, Pará, Região Norte, 68820-000, Brasil"
1507755,Sapucaia,"Sapucaia, Pará, Brasil",-6.9411006,-49.6991328,high,Municipality and Pará matched,"Sapucaia, Pará, Região Norte, Brasil"
1507805,Senador José Porfírio,"Senador José Porfírio, Pará, Brasil",-2.5935424,-51.948209,high,Municipality and Pará matched,"Senador José Porfírio, Pará, Região Norte, Brasil"
1507904,Soure,"Soure, Pará, Brasil",-0.7275759,-48.5189785,high,Municipality and Pará matched,"Soure, Pará, Região Norte, 68870-000, Brasil"
1507953,Tailândia,"Tailândia, Pará, Brasil",-2.936096,-48.9523366,high,Municipality and Pará matched,"Tailândia, Pará, Região Norte, 68695-000, Brasil"
1507961,Terra Alta,"Terra Alta, Pará, Brasil",-1.0397924,-47.9091595,high,Municipality and Pará matched,"Terra Alta, Pará, Região Norte, 68773-000, Brasil"
1507979,Terra Santa,"Terra Santa, Pará, Brasil",-2.104435,-56.487653,high,Municipality and Pará matched,"Terra Santa, Pará, Região Norte, 68285-000, Brasil"
1508001,Tomé-Açu,"Tomé-Açu, Pará, Brasil",-2.4166306,-48.1522907,high,Municipality and Pará matched,"Tomé-Açu, Pará, Região Norte, 68682-000, Brasil"
1508035,Tracuateua,"Tracuateua, Pará, Brasil",-1.0765338,-46.9030822,high,Municipality and Pará matched,"Tracuateua, Pará, Região Norte, 68647-000, Brasil"
1508050,Trairão,"Trairão, Pará, Brasil",-4.7003676,-55.9969829,high,Municipality and Pará matched,"Trairão, Pará, Região Norte, 68198-000, Brasil"
1508084,Tucumã,"Tucumã, Pará, Brasil",-6.8126923,-51.4133146,high,Municipality and Pará matched,"Tucumã, Pará, Região Norte, 68385-000, Brasil"
1508100,Tucuruí,"Tucuruí, Pará, Brasil",-3.766334,-49.6663654,high,Municipality and Pará matched,"Tucuruí, Pará, Região Norte, Brasil"
1508126,Ulianópolis,"Ulianópolis, Pará, Brasil",-3.7575266,-47.5009377,high,Municipality and Pará matched,"Ulianópolis, Pará, Região Norte, 68632-000, Brasil"
1508159,Uruará,"Uruará, Pará, Brasil",-3.7185381,-53.738549,high,Municipality and Pará matched,"Uruará, Pará, Região Norte, 68140-000, Brasil"
1508209,Vigia,"Vigia, Pará, Brasil",-0.8546027,-48.1432873,high,Municipality and Pará matched,"Vigia, Pará, Região Norte, 68780-000, Brasil"
1508308,Viseu,"Viseu, Pará, Brasil",-1.204892,-46.1392244,high,Municipality and Pará matched,"Viseu, Pará, Região Norte, 68620-000, Brasil"
1508357,Vitória do Xingu,"Vitória do Xingu, Pará, Brasil",-2.8833063,-52.0114889,high,Municipality and Pará matched,"Vitória do Xingu, Pará, Região Norte, 68383-900, Brasil"
1508407,Xinguara,"Xinguara, Pará, Brasil",-7.0998514,-49.9416632,high,Municipality and Pará matched,"Xinguara, Pará, Região Norte, Brasil"
