service_id,UF,Município,Nome do Serviço,Categoria Padronizada,Telefone,Endereço do Serviço,Situação da Transcrição,Observações,municipality_raw,municipality_key,municipality_code,municipality,transcription_status_key,protection_network_record_validated,protection_network_public_address,protection_network_public_phone,protection_network_confidential_address,category_key,protection_network_specialized_police,protection_network_specialized_judiciary,protection_network_specialized_prosecution,protection_network_specialized_defense,protection_network_shelter,protection_network_reference_center,protection_network_health_service,protection_network_maria_da_penha_patrol,protection_network_women_policy_body,protection_network_record_transcribed,validated_category_key,geocoding_query,latitude,longitude,geocoding_display_name,geocoding_importance,geocoding_confidence,geocoding_note,geocoding_source
L180-PA-086,PA,Rurópolis,Centro de Testagem e Aconselhamento (CTA),Serviço de Saúde,N/I,"Rua Ministro Sérgio Mota, s/n, Centro, próximo à garagem municipal",Completo,,Rurópolis,ruropolis,1506195,Rurópolis,completo,1,1,0,0,servico de saude,0,0,0,0,0,0,1,0,0,1,servico de saude,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-088,PA,Santana do Araguaia,Hospital Municipal São Francisco de Assis,Serviço de Saúde,(94) 3431-1237,"Av. Vinícius de Freitas, s/n, Bel Recanto",Completo,,Santana do Araguaia,santana do araguaia,1506708,Santana do Araguaia,completo,1,1,1,0,servico de saude,0,0,0,0,0,0,1,0,0,1,servico de saude,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-089,PA,Santarém,Centro de Referência Especializado de Atendimento à Mulher,Centro de Referência,(93) 9916-00080,"Rua Magnólia, Aeroporto Velho",Completo,,Santarém,santarem,1506807,Santarém,completo,1,1,1,0,centro de referencia,0,0,0,0,0,1,0,0,0,1,centro de referencia,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-090,PA,Santarém,Delegacia da Mulher,Delegacia especializada,(91) 98567-1581,"4ª Rua, entre Travessa 14 e 15, Bairro Centro, Soure/PA",Possível inconsistência,O endereço visível menciona Soure/PA; conferir associação.,Santarém,santarem,1506807,Santarém,possivel inconsistencia,0,1,1,0,delegacia especializada,0,0,0,0,0,0,0,0,0,1,,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-092,PA,Soure,Delegacia da Mulher,Delegacia especializada,(91) 98567-1581,"4ª Rua, entre Travessa 14 e 15, Bairro Centro, Soure/PA",Completo,,Soure,soure,1507904,Soure,completo,1,1,1,0,delegacia especializada,1,0,0,0,0,0,0,0,0,1,delegacia especializada,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-093,PA,São Félix do Xingu,DEAM São Félix do Xingu,Delegacia especializada,(94) 98408-1425,"Av. Antônio Marques Ribeiro, esquina com Tv. Antônio Nunes, s/n",Completo,,São Félix do Xingu,sao felix do xingu,1507300,São Félix do Xingu,completo,1,1,1,0,delegacia especializada,1,0,0,0,0,0,0,0,0,1,delegacia especializada,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-094,PA,Tucuruí,Centro de Referência Maria do Pará - Propaz Tucuruí,Centro de Referência,(94) 3787-3340,"Rua São Paulo, s/n, Bela Vista",Completo,,Tucuruí,tucurui,1508100,Tucuruí,completo,1,1,1,0,centro de referencia,0,0,0,0,0,1,0,0,0,1,centro de referencia,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-095,PA,Tucuruí,Delegacia Especializada de Atendimento à Mulher (DEAM),Delegacia especializada,(91) 98561-6817,"Rua São Paulo, ao lado da creche Menino Deus, Bairro Bela Vista, Tucuruí/PA",Completo,,Tucuruí,tucurui,1508100,Tucuruí,completo,1,1,1,0,delegacia especializada,1,0,0,0,0,0,0,0,0,1,delegacia especializada,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-096,PA,Viseu,Unidade Básica de Saúde Vila do Japim,Serviço de Saúde,N/I,"Zona Rural, s/n, Centro",Completo,,Viseu,viseu,1508308,Viseu,completo,1,1,0,0,servico de saude,0,0,0,0,0,0,1,0,0,1,servico de saude,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-097,PA,Viseu,Unidade Básica de Saúde do Mangueirão,Serviço de Saúde,N/I,"Rua Treze de Maio, s/n, Mangueirão",Completo,,Viseu,viseu,1508308,Viseu,completo,1,1,0,0,servico de saude,0,0,0,0,0,0,1,0,0,1,servico de saude,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-098,PA,Xinguara,Centro de Referência de Atendimento à Mulher (CRAM) Maria do Pará,Centro de Referência,(94) 9919-39015,"Rua Pedro Álvares Cabral, nº 10, Setor Selecta",Completo,,Xinguara,xinguara,1508407,Xinguara,completo,1,1,1,0,centro de referencia,0,0,0,0,0,1,0,0,0,1,centro de referencia,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-099,PA,Xinguara,Unidade de Pronto Atendimento de Xinguara,Serviço de Saúde,(94) 3426-4736,"BR-155, esquina com Avenida Hermes Dantas, s/n, Centro",Completo,,Xinguara,xinguara,1508407,Xinguara,completo,1,1,1,0,servico de saude,0,0,0,0,0,0,1,0,0,1,servico de saude,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
