municipality,all_female_records,violencia_domestica_lesao,lesao_corporal,violencia_sexual,estupro,estupro_vulneravel,homicidio_mulher,feminicidio,tentativa_feminicidio,feminicidio_any,police_years_observed
SOURE,1328,336,518,95,25,70,2,1,0,1,4
TAILANDIA,1988,400,546,241,54,187,11,4,0,4,4
TERRA ALTA,248,67,88,20,4,16,1,0,0,0,4
TERRA SANTA,568,118,207,68,11,57,1,0,0,0,4
TOME-ACU,2276,463,684,329,49,280,10,2,0,2,4
TRACUATEUA,447,96,130,41,5,36,0,0,0,0,4
TRAIRAO,325,82,118,59,3,56,4,0,0,0,4
TUCUMA,715,98,127,94,6,88,12,2,0,2,4
TUCURUI,3246,536,821,287,46,241,9,4,0,4,4
ULIANOPOLIS,561,185,234,81,15,66,4,0,0,0,4
URUARA,825,218,280,101,17,84,15,4,0,4,4
VIGIA,1094,171,281,116,13,103,2,1,0,1,4
VISEU,799,141,212,120,14,106,4,0,0,0,4
VITORIA DO XINGU,615,140,194,100,12,88,2,1,0,1,4
XINGUARA,1227,397,509,116,13,103,7,1,0,1,4
