municipality_code,municipality,women_policy_body_exists_raw,women_policy_body_exists,specialized_women_police_station_raw,specialized_women_police_station,programs_actions_for_women_raw,human_rights_protection_women_raw,programs_actions_for_women,human_rights_protection_women,campaigns_against_violence_women,campaigns_indicator_status,institutional_score_available_4,institutional_coverage,population_2023,police_all_female_records,police_violencia_domestica_lesao,police_lesao_corporal,police_violencia_sexual,police_estupro,police_estupro_vulneravel,police_homicidio_mulher,police_feminicidio,police_tentativa_feminicidio,police_feminicidio_any,police_police_years_observed,rate_all_female_records_per_100k_population_2022_2025,rate_violencia_domestica_lesao_per_100k_population_2022_2025,rate_lesao_corporal_per_100k_population_2022_2025,rate_violencia_sexual_per_100k_population_2022_2025,rate_estupro_per_100k_population_2022_2025,rate_estupro_vulneravel_per_100k_population_2022_2025,rate_homicidio_mulher_per_100k_population_2022_2025,rate_feminicidio_any_per_100k_population_2022_2025,institutional_deficit_available_4,cnes_active_establishments,cnes_ubs,cnes_hospitals,cnes_caps,cnes_emergency_units,cnes_obstetric_centers,cnes_health_service_deficit,cnes_active_establishments_per_100k_population,cnes_ubs_per_100k_population,cnes_hospitals_per_100k_population,cnes_caps_per_100k_population,cnes_emergency_units_per_100k_population,cnes_obstetric_centers_per_100k_population
1501576,Bom Jesus do Tocantins,Não,0,Não,0.0,-,Sim,,1.0,,not_available_in_munic_2023_questionnaire,1,3,18005,350,92,118,48,3,45,1,1,0,1,4,1943.9044709802836,510.96917522910303,655.3735073590669,266.59261316301024,16.66203832268814,249.93057484032207,5.55401277422938,5.55401277422938,2,27,0,0,0,0,0,4,149.9583449041933,0.0,0.0,0.0,0.0,0.0
1501600,Bonito,Não,0,Não,0.0,-,Não,,0.0,,not_available_in_munic_2023_questionnaire,0,3,12622,188,44,60,25,6,19,0,0,0,0,4,1489.4628426556806,348.59768657898906,475.3604816986215,198.0668673744256,47.53604816986215,150.53081920456344,0.0,0.0,3,22,0,0,0,0,0,4,174.29884328949453,0.0,0.0,0.0,0.0,0.0
1501709,Bragança,Sim,1,Sim,1.0,-,Sim,,1.0,,not_available_in_munic_2023_questionnaire,3,3,123082,3413,442,685,217,23,194,3,1,0,1,4,2772.9481158902195,359.1101867047984,556.5395427438618,176.30522740936937,18.68672917242164,157.61849823694772,2.437399457272388,0.8124664857574625,0,134,0,0,0,0,0,4,108.87050909149998,0.0,0.0,0.0,0.0,0.0
1501725,Brasil Novo,Não,0,Não,0.0,-,Não,,0.0,,not_available_in_munic_2023_questionnaire,0,3,24718,413,116,171,91,11,80,2,0,0,0,4,1670.8471559187635,469.2936321708876,691.8035439760498,368.1527631685411,44.50198236103245,323.6507808075087,8.091269520187717,0.0,3,40,0,0,0,0,0,4,161.82539040375434,0.0,0.0,0.0,0.0,0.0
1501758,Brejo Grande do Araguaia,Não,0,Não,0.0,-,Sim,,1.0,,not_available_in_munic_2023_questionnaire,1,3,6783,121,47,64,14,2,12,2,0,0,0,4,1783.8714433141677,692.9087424443462,943.5353088603864,206.39834881320948,29.48547840188707,176.91287041132244,29.48547840188707,0.0,2,16,0,0,0,0,0,4,235.88382721509657,0.0,0.0,0.0,0.0,0.0
1501782,Breu Branco,Sim,1,Não,0.0,-,Não,,0.0,,not_available_in_munic_2023_questionnaire,1,3,45712,811,205,274,98,14,84,3,0,0,0,4,1774.1512075603782,448.4599229961498,599.4049702485124,214.3857192859643,30.62653132656633,183.759187959398,6.562828141407071,0.0,2,57,0,0,0,0,0,4,124.69373468673433,0.0,0.0,0.0,0.0,0.0
1501808,Breves,Sim,1,Sim,1.0,-,Sim,,1.0,,not_available_in_munic_2023_questionnaire,3,3,106968,2808,451,704,308,61,247,5,2,0,2,4,2625.0841373120934,421.6214194899409,658.140752374542,287.9365791638621,57.02640041881684,230.91017874504524,4.674295116296463,1.869718046518585,0,124,0,0,0,0,0,4,115.92251888415228,0.0,0.0,0.0,0.0,0.0
1501907,Bujaru,Não,0,Não,0.0,Sim,Sim,1.0,1.0,,not_available_in_munic_2023_questionnaire,2,4,24383,415,86,133,72,13,59,1,0,0,0,4,1702.0054956322028,352.7047533117336,545.4620022146578,295.2877004470328,53.31583480293647,241.9718656440963,4.101218061764344,0.0,2,32,0,0,0,0,0,4,131.238977976459,0.0,0.0,0.0,0.0,0.0
1501956,Cachoeira do Piriá,Não,0,Não,0.0,-,Não,,0.0,,not_available_in_munic_2023_questionnaire,0,3,19630,192,60,78,48,9,39,2,0,0,0,4,978.09475292919,305.65461029037186,397.35099337748346,244.5236882322975,45.848191543555785,198.67549668874173,10.188487009679063,0.0,3,31,0,0,0,0,0,4,157.92154865002547,0.0,0.0,0.0,0.0,0.0
1502004,Cachoeira do Arari,Não,0,Não,0.0,Sim,Sim,1.0,1.0,,not_available_in_munic_2023_questionnaire,2,4,23981,597,136,256,83,4,79,1,0,0,0,4,2489.4708310746005,567.1156332096243,1067.5117801592928,346.1073349735207,16.67987156498895,329.42746340853176,4.1699678912472375,0.0,2,22,0,0,0,0,0,4,91.73929360743922,0.0,0.0,0.0,0.0,0.0
1502103,Cametá,Sim,1,Sim,1.0,-,Sim,,1.0,,not_available_in_munic_2023_questionnaire,3,3,134184,2871,513,859,268,47,221,5,3,0,3,4,2139.599356108031,382.3108567340368,640.1657425624516,199.7257497168068,35.02653073391761,164.69921898288916,3.7262266738210217,2.235736004292613,0,209,0,0,0,0,0,4,155.75627496571872,0.0,0.0,0.0,0.0,0.0
1502152,Canaã dos Carajás,Sim,1,Sim,1.0,Sim,Sim,1.0,1.0,,not_available_in_munic_2023_questionnaire,4,4,77079,2422,625,840,217,33,184,12,1,0,1,4,3142.230698374395,810.8563940891812,1089.7909936558594,281.52934002776374,42.81321760790877,238.7161224198549,15.56844276651228,1.29737023054269,0,311,0,0,0,0,0,4,403.48214169877656,0.0,0.0,0.0,0.0,0.0
1502202,Capanema,Sim,1,Sim,1.0,-,Sim,,1.0,,not_available_in_munic_2023_questionnaire,3,3,70394,1682,309,416,110,13,97,8,1,0,1,4,2389.4081881978577,438.9578657271927,590.959456771884,156.26331789641162,18.46748302412137,137.79583487229024,11.364604937920848,1.4205756172401058,0,135,0,0,0,0,0,4,191.77770832741427,0.0,0.0,0.0,0.0,0.0
1502301,Capitão Poço,Não,0,Não,0.0,Sim,Sim,1.0,1.0,,not_available_in_munic_2023_questionnaire,2,4,56506,664,165,242,94,17,77,3,0,0,0,4,1175.0964499345205,292.0043889144516,428.2731037411956,166.35401550277848,30.085300676034404,136.26871482674406,5.309170707535483,0.0,2,54,0,0,0,0,0,4,95.5650727356387,0.0,0.0,0.0,0.0,0.0
1502400,Castanhal,Não,0,Sim,1.0,-,Não,,0.0,,not_available_in_munic_2023_questionnaire,1,3,192256,9066,1159,1563,460,94,366,10,1,0,1,4,4715.5875499334215,602.8420439414114,812.9785286284953,239.26431424766977,48.89314247669774,190.37117177097204,5.201398135818908,0.5201398135818909,2,284,0,0,0,0,0,4,147.71970705725698,0.0,0.0,0.0,0.0,0.0
1502509,Chaves,Sim,1,Não,0.0,Sim,Sim,1.0,1.0,,not_available_in_munic_2023_questionnaire,3,4,20757,227,54,101,65,9,56,0,0,0,0,4,1093.6069759599172,260.153201329672,486.582839524016,313.14737197090136,43.35886688827865,269.78850508262275,0.0,0.0,1,29,0,0,0,0,0,4,139.71190441778677,0.0,0.0,0.0,0.0,0.0
1502608,Colares,Não,0,Não,0.0,Não,Não,0.0,0.0,,not_available_in_munic_2023_questionnaire,0,4,12868,216,49,75,32,10,22,0,0,0,0,4,1678.5825303077402,380.7895554864781,582.8411563568542,248.67889337892444,77.7121541809139,170.96673919801057,0.0,0.0,4,22,0,0,0,0,0,4,170.96673919801057,0.0,0.0,0.0,0.0,0.0
1502707,Conceição do Araguaia,Sim,1,Não,0.0,Sim,Sim,1.0,1.0,,not_available_in_munic_2023_questionnaire,3,4,44617,1246,333,468,96,17,79,8,0,0,0,4,2792.6575072281867,746.3522872447722,1048.927538830491,215.16462334984425,38.10206871820158,177.06255463164263,17.930385279153686,0.0,1,121,0,0,0,0,0,4,271.1970773471995,0.0,0.0,0.0,0.0,0.0
