municipality_code,municipality,women_policy_body_exists_raw,women_policy_body_exists,specialized_women_police_station_raw,specialized_women_police_station,programs_actions_for_women_raw,human_rights_protection_women_raw,programs_actions_for_women,human_rights_protection_women,campaigns_against_violence_women,campaigns_indicator_status,institutional_score_available_4,institutional_coverage
1502301,Capitão Poço,Não,0,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,2,4
1502400,Castanhal,Não,0,Sim,1,-,Não,,0,,not_available_in_munic_2023_questionnaire,1,3
1502509,Chaves,Sim,1,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,3,4
1502608,Colares,Não,0,Não,0,Não,Não,0,0,,not_available_in_munic_2023_questionnaire,0,4
1502707,Conceição do Araguaia,Sim,1,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,3,4
1502756,Concórdia do Pará,Sim,1,Sim,1,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,4,4
1502764,Cumaru do Norte,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1502772,Curionópolis,Não,0,Não,0,Sim,Não,1,0,,not_available_in_munic_2023_questionnaire,1,4
1502806,Curralinho,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1502855,Curuá,Não,0,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,2,4
1502905,Curuçá,Não,0,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,2,4
1502939,Dom Eliseu,Não,0,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,2,4
1502954,Eldorado do Carajás,Sim,1,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,3,4
1503002,Faro,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1503044,Floresta do Araguaia,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1503077,Garrafão do Norte,Sim,1,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,2,3
1503093,Goianésia do Pará,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1503101,Gurupá,Sim,1,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,3,4
1503200,Igarapé-Açu,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1503309,Igarapé-Miri,Sim,1,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,1,3
1503408,Inhangapi,Sim,1,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,1,3
1503457,Ipixuna do Pará,Não,0,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,2,4
1503507,Irituia,Não,0,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,2,4
1503606,Itaituba,Sim,1,Sim,1,-,Sim,,1,,not_available_in_munic_2023_questionnaire,3,3
1503705,Itupiranga,Sim,1,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,2,3
1503754,Jacareacanga,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1503804,Jacundá,Sim,1,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,2,3
1503903,Juruti,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1504000,Limoeiro do Ajuru,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1504059,Mãe do Rio,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1504109,Magalhães Barata,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1504208,Marabá,Sim,1,Sim,1,-,Sim,,1,,not_available_in_munic_2023_questionnaire,3,3
1504307,Maracanã,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1504406,Marapanim,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1504422,Marituba,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1504455,Medicilândia,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1504505,Melgaço,Sim,1,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,2,3
1504604,Mocajuba,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1504703,Moju,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1504752,Mojuí dos Campos,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1504802,Monte Alegre,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1504901,Muaná,Não,0,Não,0,Não informou,Não informou,,,,not_available_in_munic_2023_questionnaire,0,2
1504950,Nova Esperança do Piriá,Sim,1,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,2,3
1504976,Nova Ipixuna,Sim,1,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,3,4
1505007,Nova Timboteua,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1505031,Novo Progresso,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1505064,Novo Repartimento,Não,0,Não,0,Sim,Não,1,0,,not_available_in_munic_2023_questionnaire,1,4
1505106,Óbidos,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1505205,Oeiras do Pará,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1505304,Oriximiná,Sim,1,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,1,3
1505403,Ourém,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1505437,Ourilândia do Norte,Não,0,Não,0,Não,Não,0,0,,not_available_in_munic_2023_questionnaire,0,4
1505486,Pacajá,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1505494,Palestina do Pará,Não,0,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,2,4
1505502,Paragominas,Não,0,Sim,1,-,Sim,,1,,not_available_in_munic_2023_questionnaire,2,3
1505536,Parauapebas,Sim,1,Sim,1,-,Não,,0,,not_available_in_munic_2023_questionnaire,2,3
1505551,Pau DArco,Não,0,Não,0,Sim,Não,1,0,,not_available_in_munic_2023_questionnaire,1,4
1505601,Peixe-Boi,Não,0,Não,0,Sim,Não,1,0,,not_available_in_munic_2023_questionnaire,1,4
1505635,Piçarra,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1505650,Placas,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1505700,Ponta de Pedras,Sim,1,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,3,4
1505809,Portel,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1505908,Porto de Moz,Sim,1,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,2,3
1506005,Prainha,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1506104,Primavera,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1506112,Quatipuru,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1506138,Redenção,Não,0,Sim,1,-,Sim,,1,,not_available_in_munic_2023_questionnaire,2,3
1506161,Rio Maria,Sim,1,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,2,3
1506187,Rondon do Pará,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1506195,Rurópolis,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1506203,Salinópolis,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1506302,Salvaterra,Não,0,Não informou,,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,2,3
1506351,Santa Bárbara do Pará,Não,0,Não,0,Não,Sim,0,1,,not_available_in_munic_2023_questionnaire,1,4
1506401,Santa Cruz do Arari,Não,0,Não,0,Não,Não,0,0,,not_available_in_munic_2023_questionnaire,0,4
1506500,Santa Izabel do Pará,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1506559,Santa Luzia do Pará,Não,0,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,2,4
1506583,Santa Maria das Barreiras,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1506609,Santa Maria do Pará,Não,0,Não,0,Sim,Não,1,0,,not_available_in_munic_2023_questionnaire,1,4
1506708,Santana do Araguaia,Não,0,Não,0,Sim,Não,1,0,,not_available_in_munic_2023_questionnaire,1,4
1506807,Santarém,Sim,1,Sim,1,-,Sim,,1,,not_available_in_munic_2023_questionnaire,3,3
1506906,Santarém Novo,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1507003,Santo Antônio do Tauá,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1507102,São Caetano de Odivelas,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1507151,São Domingos do Araguaia,Não,0,Não,0,Sim,Não,1,0,,not_available_in_munic_2023_questionnaire,1,4
1507201,São Domingos do Capim,Sim,1,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,3,4
1507300,São Félix do Xingu,Sim,1,Sim,1,-,Não,,0,,not_available_in_munic_2023_questionnaire,2,3
1507409,São Francisco do Pará,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1507458,São Geraldo do Araguaia,Não,0,Não,0,Sim,Não,1,0,,not_available_in_munic_2023_questionnaire,1,4
1507466,São João da Ponta,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1507474,São João de Pirabas,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1507508,São João do Araguaia,Não,0,Não,0,Não,Não,0,0,,not_available_in_munic_2023_questionnaire,0,4
1507607,São Miguel do Guamá,Sim,1,Não,0,Sim,Não,1,0,,not_available_in_munic_2023_questionnaire,2,4
1507706,São Sebastião da Boa Vista,Sim,1,Não informou,,-,Sim,,1,,not_available_in_munic_2023_questionnaire,2,2
1507755,Sapucaia,Não,0,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,2,4
1507805,Senador José Porfírio,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1507904,Soure,Sim,1,Sim,1,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,4,4
1507953,Tailândia,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1507961,Terra Alta,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1507979,Terra Santa,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1508001,Tomé-Açu,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1508035,Tracuateua,Sim,1,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,3,4
1508050,Trairão,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1508084,Tucumã,Não,0,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,2,4
1508100,Tucuruí,Não,0,Sim,1,-,Sim,,1,,not_available_in_munic_2023_questionnaire,2,3
1508126,Ulianópolis,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1508159,Uruará,Não,0,Não,0,Sim,Não,1,0,,not_available_in_munic_2023_questionnaire,1,4
1508209,Vigia,Não,0,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,1,3
1508308,Viseu,Não,0,Não,0,-,Não,,0,,not_available_in_munic_2023_questionnaire,0,3
1508357,Vitória do Xingu,Não,0,Não,0,Sim,Sim,1,1,,not_available_in_munic_2023_questionnaire,2,4
1508407,Xinguara,Sim,1,Não,0,-,Sim,,1,,not_available_in_munic_2023_questionnaire,2,3
