Temas disponíveis,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,variável
,Quantidade de reuniões nos últimos 12 meses,,,,MDHU5442
,,,,,
Comitê Permanente de Acessibilidade - existência,,,,,MDHU545
,Lei de criação,,,,MDHU5451A
,Ano,,,,MDHU5451B
,Quantidade de reuniões nos últimos 12 meses,,,,MDHU5452
,,,,,
Comitê para o enfrentamento à violência sexual contra crianças e adolescentes - existência,,,,,MDHU546
,Lei de criação,,,,MDHU5461A
,Ano,,,,MDHU5461B
,Quantidade de reuniões nos últimos 12 meses,,,,MDHU5462
,,,,,
Comitê em Defesa da Liberdade Religiosa ou similar - existência,,,,,MDHU547
,Lei de criação,,,,MDHU5471A
,Ano,,,,MDHU5471B
,Quantidade de reuniões nos últimos 12 meses,,,,MDHU5472
,,,,,
Comitê ou comissão de Gestão Orçamentária Participativa - existência,,,,,MDHU548
,Lei de criação,,,,MDHU5481A
,Ano,,,,MDHU5481B
,Quantidade de reuniões nos últimos 12 meses,,,,MDHU5482
,,,,,
Comitê ou comissão de Enfrentamento do Trabalho Escravo - existência,,,,,MDHU549
,Lei de criação,,,,MDHU5491A
,Ano,,,,MDHU5491B
,Quantidade de reuniões nos últimos 12 meses,,,,MDHU5492
,,,,,
Comitê gestor de enfrentamento à violência LGBTQIA+fóbica - existência,,,,,MDHU5410
,Lei de criação,,,,MDHU54101A
,Ano,,,,MDHU54101B
,Quantidade de reuniões nos últimos 12 meses,,,,MDHU54102
,,,,,
Nenhum comitê ou comissão citado,,,,,MDHU5411
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
,,,,,
7.5 Conferências municipais,,,,,
Temas de conferências realizadas nos últimos quatro anos pelo governo municipal:,,,,,
,Direitos humanos,,,,MDHU551
,Direitos ou política para a criança e o adolescente,,,,MDHU552
,Direitos ou política para a pessoa idosa,,,,MDHU553
,"Direitos ou políticas para lésbicas, gays, bissexuais, travestis e transexuais",,,,MDHU554
,Direitos ou política para mulheres,,,,MDHU555
,Direitos ou política para pessoa deficiência,,,,MDHU556
,Direitos ou política para igualdade racial,,,,MDHU557
,Direitos ou política para população em situação de rua,,,,MDHU558
,Direitos ou política para povos e comunidades tradicionais,,,,MDHU559
,Direitos ou política para juventude,,,,MDHU5510
,Nenhum dos temas citados,,,,MDHU5511
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
,,,,,
7.6 Fundo municipal,,,,,
Direitos humanos,,,,,MDHU561
Direitos da criança e do adolescente,,,,,MDHU562
Direitos do idoso,,,,,MDHU563
Direitos da pessoa com deficiência,,,,,MDHU564
Promoção da igualdade racial,,,,,MDHU565
Nenhum dos fundos citados,,,,,MDHU566
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
,,,,,
7.7 Políticas ou programas na área de direitos humanos,,,,,
Proteção de mulheres vítimas de violência doméstica,,,,,MDHU571
Promoção à igualdade racial e/ou enfrentamento ao racismo,,,,,MDHU572
Proteção às vítimas diretas e/ou indiretas da violência,,,,,MDHU573
Proteção às pessoas vítimas de violência ou conflitos agrários e outros conflitos territoriais,,,,,MDHU574
Enfrentamento ao sub-registro civil de nascimento e emissão de documentação básica,,,,,MDHU575
"Promoção de Direitos de Lésbicas, Gays, Bissexuais, Travestis e Transexuais e/ou de Enfrentamento à LGBTQIA+Fobia",,,,,MDHU576
Atendimento a pessoas com transtorno mental,,,,,MDHU577
Promoção da diversidade religiosa,,,,,MDHU578
Documentação de trabalhadoras rurais,,,,,MDHU579
Enfrentamento do trabalho forçado ou escravo e reinserção de suas vítimas,,,,,MDHU5710
Enfrentamento à violência contra jovens,,,,,MDHU5711
Proteção às pessoas vítimas de violência por intolerância religiosa,,,,,MDHU5712
Documentação de indivíduos pertencentes a povos e comunidades tradicionais,,,,,MDHU5713
Reconhecimento do patrimônio afro-brasileiro,,,,,MDHU5714
"Atendimento a indivíduos falantes de línguas indígenas, línguas ciganas ou da língua pomerana",,,,,MDHU5715
Nenhuma das políticas ou programas citados,,,,,MDHU5716
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
,,,,,
7.8 Direitos das crianças e adolescentes,,,,,
Desenvolvimento de política ou programa de promoção dos direitos e defesa das crianças e adolescentes - existência,,,,,MDHU58
,Ações ou medidas da política ou programa de promoção dos direitos das crianças e adolescentes:,,,,
,,Lazer para crianças e adolescentes,,,MDHU591
,,"Promoção do voluntariado, protagonismo juvenil e da participação cidadã",,,MDHU592
,,Vacinação contra o vírus do papiloma humano (HPV),,,MDHU593
,,Incentivo ao esporte seguro e inclusivo,,,MDHU594
,,Acolhimento institucional de crianças e adolescentes,,,MDHU595
,,Acolhimento de crianças e adolescentes por famílias acolhedoras,,,MDHU596
,,Prevenção de acidentes e autodefesa,,,MDHU597
,,Planejamento da proteção de crianças e adolescentes em contexto de desastres,,,MDHU598
,,Instâncias formais de participação política de adolescentes,,,MDHU599
,,Apoio à formação e organização de redes de adolescentes,,,MDHU5910
,,Cursos preparatórios e outras formas de apoio a adotantes,,,MDHU5911
,,"Promoção do protagonismo da juventude de povos e comunidades tradicionais (indígenas, quilombolas, etc.)",,,MDHU5912
,Ações ou medidas da política ou programa de defesa dos direitos das crianças e adolescentes:,,,,
,,Enfrentamento ao bullying,,,MDHU601
,,Enfrentamento e erradicação do trabalho infantil,,,MDHU602
,,Enfrentamento à violência física contra crianças e adolescentes,,,MDHU603
,,Enfrentamento à violência sexual contra crianças e adolescentes,,,MDHU604
,,Proteção de crianças e adolescentes ameaçados de morte,,,MDHU605
,,Atendimento à criança e ao adolescente em situação de rua,,,MDHU606
,,Atendimento socioeducativo ao adolescente em conflito com a lei ,,,MDHU607
,,Busca e localização de desaparecidos,,,MDHU608
,,Combate ao uso de drogas,,,MDHU609
,,Nenhuma das ações ou medidas citadas,,,MDHU6010
,,,,,
Conselho Tutelar - existência,,,,,MDHU61
,Lei de criação,,,,MDHU611A
,Ano,,,,MDHU611B
,Quantidade de Conselhos Tutelares,,,,MDHU612
,,,,,
Executor(a) das medidas socioeducativas em meio aberto para adolescentes em conflito com a lei:,,,,,
,Prefeitura - Assistência Social,,,,MDHU621
,Prefeitura - Educação,,,,MDHU622
,Prefeitura - Área específica de Socioeducação,,,,MDHU623
,Prefeitura - Saúde,,,,MDHU624
,Prefeitura - Outra área,,,,MDHU625
,Governo estadual,,,,MDHU626
,Poder judiciário,,,,MDHU627
,Centro de Referência Especializado de Assistência Social,,,,MDHU628
,Organização não-governamental,,,,MDHU629
,Consórcio de municípios,,,,MDHU6210
,Não há no município execução de medidas socioeducativas em meio aberto,,,,MDHU6211
,,,,,
Quantidade de unidades para o cumprimento de medidas socioeducativas:,,,,,
,Internação,,,,MDHU631
,Internação provisória,,,,MDHU632
,Semiliberdade,,,,MDHU633
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
,,,,,
7.9 Direitos das pessoas com deficiência,,,,,
Existência de política ou programa de promoção de direitos da pessoa com deficiência,,,,,MDHU64
,Ações ou medidas da política ou programa de promoção de direitos da pessoa com deficiência:,,,,
,,Melhoria de acessibilidade a espaços públicos,,,MDHU651
,,Melhoria e garantia de acessibilidade de transporte público,,,MDHU652
,,Distribuição de órteses e próteses,,,MDHU653
,,Geração de trabalho e renda ou inclusão no mercado de trabalho,,,MDHU654
,,Inclusão no ambiente escolar,,,MDHU655
,,Turismo acessível,,,MDHU656
,,Prevenção à discriminação da pessoa com deficiência,,,MDHU657
,,Acesso ao lazer,,,MDHU658
,,Promoção de acessibilidade digital,,,MDHU659
,,Nenhuma das ações ou medidas citadas,,,MDHU6510
,,,,,
Acessibilidade na sede do governo municipal:,,,,,
,Rampas de acesso,,,,MDHU661
,"Elevadores, plataformas elevatórias e outros",,,,MDHU662
,Sanitário acessível,,,,MDHU663
,Piso tátil,,,,MDHU664
,Elevadores com braile e sonorização,,,,MDHU665
,Telefone público adaptado,,,,MDHU666
,Mobiliário de recepção adaptado,,,,MDHU667
,Pessoal capacitado para atender pessoas com deficiência,,,,MDHU668
,Pessoal capacitado em acessibilidade digital,,,,MDHU669
,Área especial de (des)embarque para pessoas com deficiência ou mobilidade reduzida,,,,MDHU6610
,Reserva de vaga para veículos que transportem pessoa com deficiência,,,,MDHU6611
,"Sinalização, em lugar visível, de atendimento prioritário",,,,MDHU6612
,Admissão de cão guia,,,,MDHU6613
,Rampa externa e rebaixamento de calçadas para travessia de pedestre em nível,,,,MDHU6614
,Pessoal capacitado para atendimento nas línguas indígenas,,,,MDHU6615
,Pessoal capacitado para atendimento nas línguas ciganas,,,,MDHU6616
,Pessoal capacitado para atendimento na língua pomerana,,,,MDHU6617
,Pessoal capacitado para atendimento na língua brasileira de sinais (LIBRAS),,,,MDHU6618
,Nenhum dos itens citados,,,,MDHU6619
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
,,,,,
7.10 Direitos da pessoa idosa,,,,,
Existência de política ou programa de promoção de direitos da pessoa idosa,,,,,MDHU67
,Ações ou medidas da política ou programa de promoção de direitos da pessoa idosa:,,,,
,,Enfrentamento à violência,,,MDHU681
,,Vacinação contra a gripe e pneumonia,,,MDHU682
,,Promoção da saúde e do cuidado de si,,,MDHU683
,,Promoção da acessibilidade ou isenção de tarifas no transporte público,,,MDHU684
,,Promoção à participação e integração na comunidade,,,MDHU685
,,Capacitação de cuidador,,,MDHU686
,,"Acesso à recreação, ao lazer e aos bens culturais",,,MDHU687
,,Garantia de alimentação adequada,,,MDHU688
,,Nenhuma das ações ou medidas citadas,,,MDHU689
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
,,,,,
7.11 Direitos da pessoa em situação de rua,,,,,
Existência de política ou programa de promoção de direitos da pessoa em situação de rua,,,,,MDHU69
,Ações ou medidas da política ou programa de promoção de direitos da pessoa em situação de rua:,,,,
,,Enfrentamento à violência,,,MDHU701
,,Acesso à profissionalização especializada,,,MDHU702
,,Acesso a serviços saúde,,,MDHU703
,,Garantia de alimentação adequada,,,MDHU704
,,Acesso a programas de habitação,,,MDHU705
,,Proteção a crianças e adolescentes em situação de rua,,,MDHU706
,,Acesso à documentação básica,,,MDHU707
,,Busca ativa para inclusão no Cadúnico,,,MDHU708
,,Nenhuma das ações ou medidas citadas,,,MDHU709
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
,,,,,
7.12 Acampamento cigano,,,,,
Existência de acampamento ou rancho cigano,,,,,MDHU71
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
,,,,,
7.13 Comunidades tradicionais,,,,,
"Existência de protocolo que defina os procedimentos para a consulta livre, prévia e esclarecida aos povos e comunidades tradicionais (20)",,,,,MDHU72
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
"(20) Existência de protocolo que defina os procedimentos para a consulta livre, prévia e esclarecida aos povos e comunidades tradicionais para os casos de medidas administrativas ou legislativas de qualquer natureza que lhes afete, incluindo obras de infraestrutura.",,,,,
,,,,,
7.14 Denúncias de violação dos direitos humanos,,,,,
"Natureza do órgão responsável por receber, registrar e acompanhar denúncias de violação de direitos",,,,,MDHU73
,Ouvidoria de direitos humanos,,,,MDHU731
,Ouvidoria policial ou de serviço de segurança,,,,MDHU732
,"Conselhos, comitês, comissões de cidadania",,,,MDHU733
,Serviço de assistência jurídica,,,,MDHU734
,Serviço de defesa ao cidadão,,,,MDHU735
,Serviço de assistência social,,,,MDHU736
,Outros,,,,MDHU737
,Não existe órgão responsável,,,,MDHU738
,Instrumentos utilizados para receber denúncias de violação de direitos:,,,,
,,Telefone,,,MDHU741
,,Balcão de atendimento,,,MDHU742
,,Telefone gratuito,,,MDHU743
,,Página na internet,,,MDHU744
,,Correio,,,MDHU745
,,E-mail,,,MDHU746
,,Outros,,,MDHU747
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
,,,,,
,,,,,
8. PRIMEIRA INFÂNCIA,,,,,subtítulo link
8.1 Plano Municipal de Primeira Infância,,,,,subtítulo link
8.2 Comitê Intersetorial de Políticas Públicas para a Primeira Infância,,,,,subtítulo link
8.3 Política ou programa especificamente direcionados à promoção e defesa de direitos das crianças de 0 a 6 anos,,,,,subtítulo link
8.4 Creche para famílias com crianças na educação infantil e regulamentação de espaços públicos voltados à primeira infância (0 a 6 anos),,,,,subtítulo link
8.5 Legislação municipal específica,,,,,
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
,,,,,
8. PRIMEIRA INFÂNCIA,,,,,
8.1 Plano Municipal de Primeira Infância,,,,,
Plano Municipal de Primeira Infância - existência,,,,,MPRI01
,Por qual instrumento,,,,MPRI011
,,Número,,,MPRI012a
,,Ano de criação,,,MPRI012b
,Ano em que foi elaborado,,,,MPRI013
,Foi criada uma Comissão para a elaboração do Plano,,,,MPRI014
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
,,,,,
8.2 Comitê Intersetorial de Políticas Públicas para a Primeira Infância,,,,,
Comitê Intersetorial de Políticas Públicas para a Primeira Infância - existência,,,,,MPRI02
,Comitê é composto por representante:,,,,MPRI03
,,Do governo municipal da área de:,,,
,,,Assistência social,,MPRI031
,,,Educação,,MPRI032
,,,Saúde,,MPRI033
,,,Outras áreas,,MPRI034
,,Conselho tutelar,,,MPRI035
,,Conselho Municipal dos Direitos da criança e do adolescente,,,MPRI036
,,Da sociedade civil:,,,
,,,"Organização da Sociedade Civil (OS, OSCIP, associações etc.)",,MPRI037
,,,Setor privado,,MPRI038
,,,Universidades,,MPRI039
,,,Crianças e adolescentes,,MPRI0310
,,,Outras áreas,,MPRI0311
,Quantidade de reuniões (presenciais ou remotas) realizadas nos últimos 12 meses,,,,MPRI04
,,,,,
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
,,,,,
8.3 Política ou programa especificamente direcionados à promoção e defesa de direitos das crianças de 0 a 6 anos,,,,,
Gestão municipal desenvolve política ou programa especificamente direcionados à promoção e defesa de direitos das crianças de 0 a 6 anos,,,,,MPRI05
,Ações ou medidas:,,,,
,,Acesso a serviços de saúde,,,MPRI061
,,Acolhimento institucional,,,MPRI062
,,Acolhimento por famílias acolhedoras,,,MPRI063
,,Criação e/ou manutenção de parques infantis/praças com brinquedos para a primeira infância,,,MPRI064
,,Garantia de alimentação adequada,,,MPRI065
,,Incentivo à paternidade responsável,,,MPRI066
,,Incentivo ao aleitamento materno,,,MPRI067
,,Oferta de Educação Infantil,,,MPRI068
,,Prevenção de acidentes,,,MPRI069
,,Promoção de arte e cultura,,,MPRI0610
,,Promoção do brincar,,,MPRI0611
,,Promoção do Direito à Convivência Familiar e Comunitária,,,MPRI0612
,,Proteção a crianças em situação de rua,,,MPRI0613
,,Proteção à exposição precoce das crianças aos meios de comunicação,,,MPRI0614
,,Proteção contra violências,,,MPRI0615
,,Nenhuma das políticas ou programas citados,,,MPRI0616
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
,,,,,
8.4 Creche para famílias com crianças na educação infantil e regulamentação de espaços públicos voltados à primeira infância (0 a 6 anos),,,,,
Município oferece algum tipo de auxílio creche para famílias com crianças na educação infantil,,,,,MPRI07
,Auxílio creche é oferecido em:,,,,
,,Dinheiro,,,MPRI081
,,Bolsa de estudo,,,MPRI082
,,Vaga adquirida pelo governo,,,MPRI083
,,Outro,,,MPRI084
,,,,,
Município possui regulamentação de espaços públicos voltados à primeira infância (0 a 6 anos),,,,,MPRI09
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
,,,,,
8.5 Legislação municipal específica,,,,,
Extensão da licença maternidade e/ou paternidade para os servidores e servidoras da gestão municipal - existência,,,,,MPRI10
,Número,,,,MPRI101a
,Ano de criação,,,,MPRI101b
,,,,,
Instituição de sistema próprio de ensino da educação/infantil - existência,,,,,MPRI11
,Número,,,,MPRI111a
,Ano de criação,,,,MPRI111b
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
