Temas disponíveis,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,variável
,Pescadores artesanais,,,,MASS2610
,Catadores de materiais recicláveis,,,,MASS2611
,Migrantes/Imigrantes/Refugiados/Apátridas,,,,MASS2612
,Atingidas por empreendimentos de infraestrutura,,,,MASS2613
,Encarcerado/egressos do sistema carcerário,,,,MASS2614
,Nenhum dos citados,,,,MASS2615
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
2.8 Concessão de benefícios eventuais,,,,,
O município realiza concessão de benefícios eventuais,,,,,MASS27
,Benefícios concedidos:,,,,
,,Benefício eventual por situação de morte,,,MASS2711
,,Benefício eventual por situação de natalidade,,,MASS2712
,,Benefício eventual para situação de calamidade pública,,,MASS2713
,,Outros benefícios eventuais para famílias em situação de vulnerabilidade temporária,,,MASS2714
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
,,,,,
3. TRABALHO E INCLUSÃO PRODUTIVA,,,,,
3.1 Diagnóstico socioeconômico do município,,,,,subtítulo link
"3.2 Ações, programas ou projetos de inclusão produtiva para a geração de trabalho e renda",,,,,subtítulo link
"3.3 Ações, programas ou projetos de inclusão produtiva rural",,,,,subtítulo link
"3.4 Ações, programas ou projetos de qualificação profissional e intermediação de mão de obra",,,,,subtítulo link
"3.5 Ações, programas ou projetos de inclusão produtiva urbana",,,,,subtítulo link
"3.6 Ações, programas ou projetos de de crédito, microcrédito e seguro",,,,,subtítulo link
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
3. TRABALHO E INCLUSÃO PRODUTIVA,,,,,
3.1 Diagnóstico socioeconômico do município,,,,,
Existe algum tipo de estudo setorial e/ou diagnóstico socioeconômico do município que tenha sido realizado no período entre 2021 e 2022,,,,,MTIP01
,Ano do diagnóstico,,,,MTIP011
,Órgão responsável pela elaboração do diagnóstico:,,,,
,,Agricultura,,,MTIP021
,,Assistência social,,,MTIP022
,,Fazenda,,,MTIP023
,,Planejamento,,,MTIP024
,,Trabalho,,,MTIP025
,,Desenvolvimento econômico,,,MTIP026
,,Outro órgão,,,MTIP027
,,Não sabe informar,,,MTIP028
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
"3.2 Ações, programas ou projetos de inclusão produtiva para a geração de trabalho e renda",,,,,
"O município desenvolve ações, programas ou projetos de inclusão produtiva para a geração de trabalho e renda",,,,,MTIP03
,"Órgão gestor responsável pelas ações, programas ou projetos:",,,,
,,Agricultura,,,MTIP041
,,Assistência social,,,MTIP042
,,Fazenda,,,MTIP043
,,Planejamento,,,MTIP044
,,Trabalho,,,MTIP045
,,Desenvolvimento econômico,,,MTIP046
,,Outro órgão,,,MTIP047
,,Não sabe informar,,,MTIP048
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
"3.3 Ações, programas ou projetos de inclusão produtiva rural",,,,,
"O município desenvolve ações, programas ou projetos de inclusão produtiva rural",,,,,MTIP05
,"Ações, programas ou projetos desenvolvidos:",,,,
,,Ações de assistência técnica e extensão rural,,,MTIP061
,,Ações de fomento a atividades produtivas,,,MTIP062
,,Ações de incentivo para acesso ao crédito e ao seguro rural,,,MTIP063
,,Ações de aquisição ou empréstimo de tratores e implementos agrícolas,,,MTIP064
,,Ações de doação de sementes ou matrizes de pequenos animais,,,MTIP065
,,Ações de aquisição de alimentos no âmbito do Programa de Aquisição de Alimentos (PAA) ou do Programa Nacional de Alimentação Escolar (PNAE),,,MTIP066
,,"Ações de aquisição de alimentos para atender a demandas regulares de restaurantes universitários, presídios, hospitais, entre outros",,,MTIP067
,,"Ações de apoio a transporte, armazenagem, comercialização e distribuição de alimentos (2)",,,MTIP068
,,"Ações de fomento a empreendimentos coletivos rurais (associativismo, cooperativismo e economia solidária)",,,MTIP069
,,"Ações de assistência técnico-gerencial a empreendimentos coletivos rurais (para formalização, melhora da produção, aspectos jurídicos e comerciais)",,,MTIP0610
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
"(2) Empréstimos de caminhões, manutenção de centrais de recebimento de alimentos provenientes de programas como o PAA e o PNAE.",,,,,
,,,,,
"3.4 Ações, programas ou projetos de qualificação profissional e intermediação de mão de obra",,,,,
"O município desenvolve ações, programas ou projetos de qualificação profissional e intermediação de mão de obra",,,,,MTIP07
,"Ações, programas ou projetos desenvolvidos:",,,,
,,Ações de qualificação profissional,,,MTIP081
,,Ações de intermediação de mão de obra,,,MTIP082
,,Ações de mobilização e sensibilização para cursos de qualificação profissional,,,MTIP083
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
"3.5 Ações, programas ou projetos para empreendimentos urbanos",,,,,
"O município desenvolve ações, programas ou projetos para empreendimentos urbanos",,,,,MTIP09
,"Ações, programas ou projetos desenvolvidos:",,,,
,,Ações de fomento a empreendimentos individuais urbanos,,,MTIP101
,,"Ações fomento a empreendimentos coletivos urbanos (Associativismo, Cooperativismo e Economia Solidária urbana e outros grupos não formalizados)",,,MTIP102
,,"Ações de assistência técnico-gerencial a empreendimentos individuais urbanos (para formalização, melhora da produção, aspectos jurídicos e comerciais)",,,MTIP103
,,Ações de incubação de empreendimentos,,,MTIP104
,,Ações de fomento ao artesanato,,,MTIP105
,,Ações de doação de equipamentos ou kit básico para desempenho do trabalho,,,MTIP106
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
"3.6 Ações, programas ou projetos de crédito, microcrédito e seguro",,,,,
"O município desenvolve ações, programas ou projetos de crédito, microcrédito e seguro",,,,,MTIP11
,"Ações, programas ou projetos desenvolvidos:",,,,
,,Ações para promover o acesso a microcrédito produtivo orientado (Programa CRESCER e/ou similar),,,MTIP121
,,Ações de acesso a crédito por meio do Banco do Povo ou outras organizações congêneres,,,MTIP122
,,Ações de acesso a crédito do Proger urbano,,,MTIP123
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
"3.7 Ações, programas ou projetos de geração de trabalho e renda",,,,,
"O município desenvolve ações, programas ou projetos de geração de trabalho e renda",,,,,MTIP13
,"Ações, programas ou projetos desenvolvidos:",,,,
,,"Projeto(s) de apoio à comercialização de negócios, cooperativas e empreendimentos solidários",,,MTIP141
,,"Projeto(s) de apoio ao associativismo, cooperativismo e economia solidária",,,MTIP142
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
,,,,,
4. SEGURANÇA ALIMENTAR E NUTRICIONAL,,,,,
4.1 Órgão gestor da segurança alimentar,,,,,subtítulo link
4.2 Lei de segurança alimentar,,,,,subtítulo link
"4.3 Conselho, câmara ou instância governamental intersetorial e plano de segurança alimentar",,,,,subtítulo link
4.4 Orçamento ,,,,,subtítulo link
4.5 Ações desenvolvidas,,,,,subtítulo link
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
4. SEGURANÇA ALIMENTAR E NUTRICIONAL,,,,,
4.1 Órgão gestor da segurança alimentar,,,,,
Caracterização do órgão gestor ,,,,,MSAN01
,Secretaria ou setor está associada ou subordinada:,,,,
,,Assistência social,,,MSAN021
,,Agricultura,,,MSAN022
,,Planejamento,,,MSAN023
,,Saúde,,,MSAN024
,,Direitos humanos,,,MSAN025
,,Outra,,,MSAN026
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
4.2 Lei de segurança alimentar,,,,,
Lei municipal de segurança alimentar - existência,,,,,MSAN04
,Número da lei,,,,MSAN041
,Mês promulgação,,,,MSAN042A
,Ano da promulgação,,,,MSAN042B
,Mês da apresentação do projeto de lei,,,,MSAN043A
,Ano da apresentação do projeto de lei,,,,MSAN043B
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
"4.3 Conselho, câmara ou instância governamental intersetorial e plano de segurança alimentar",,,,,
Conselho Municipal de Segurança Alimentar - existência,,,,,MSAN05
,Lei de criação,,,,MSAN051a
,Ano de criação,,,,MSAN051b
,O conselho está,,,,MSAN051c
,Formação,,,,MSAN052
,Caráter:,,,,
,,Consultivo,,,MSAN061
,,Deliberativo,,,MSAN062
,,Normativo,,,MSAN063
,,Fiscalizador,,,MSAN064
,Quantidade de reuniões (presenciais ou remotas) nos últimos 12 meses,,,,MSAN07
,Número de conselheiros (titulares e suplentes),,,,MSAN08
,Capacitação para os membros:,,,,
,,Continuada,,,MSAN091
,,Eventualmente,,,MSAN092
,,Não realiza,,,MSAN093
,Disponibiliza infraestrutura para o funcionamento,,,,MSAN10
,,Sala própria,,,MSAN1011
,,Computador,,,MSAN1012
,,Impressora,,,MSAN1013
,,Acesso à internet,,,MSAN1014
,,Veículo próprio,,,MSAN1015
,,Telefone,,,MSAN1016
,,Diárias,,,MSAN1017
,,Dotação orçamentária própria,,,MSAN1018
,,Transporte/locomoção,,,MSAN1019
,,,,,
Câmara ou instância governamental intersetorial de segurança alimentar e nutricional - existência,,,,,MSAN11
,Áreas do governo representadas:,,,,
,,Fazenda,,,MSAN121
,,Planejamento,,,MSAN122
,,Agricultura,,,MSAN123
,,Saúde,,,MSAN124
,,Trabalho,,,MSAN125
,,Educação,,,MSAN126
,,Assistência social,,,MSAN127
,,Segurança Alimentar,,,MSAN128
,,Casa Civil,,,MSAN129
,,Direitos Humanos,,,MSAN1210
,,Outras,,,MSAN1211
,Recursos orçamentários municipais para apoiar o funcionamento,,,,MSAN14
,,,,,
Plano de segurança alimentar - existência,,,,,MSAN15
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
4.4 Orçamento ,,,,,
Recursos orçamentários municipais previstos para o financiamento da política (3) - existência,,,,,MSAN16
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
(3) Recursos orçamentários municipais previstos para o financiamento de políticas de segurança alimentar e nutricional (exceto contrapartidas de convênios com o governo federal).,,,,,
,,,,,
4.5 Ações desenvolvidas,,,,,
Atividades de educação alimentar e nutricional,,,,,MSAN171
,Com recurso repassado pelo governo federal,,,,MSAN17111
,Com recurso repassado pelo governo estadual,,,,MSAN17112
,Com recurso próprio,,,,MSAN17113
"Atividades de capacitação, fomento ou incentivo à produção orgânica e/ou agroecológica",,,,,MSAN172
,Com recurso repassado pelo governo federal,,,,MSAN17211
,Com recurso repassado pelo governo estadual,,,,MSAN17212
,Com recurso próprio,,,,MSAN17213
Doação de alimentos4,,,,,MSAN173
,Com recurso repassado pelo governo federal,,,,MSAN17311
,Com recurso repassado pelo governo estadual,,,,MSAN17312
,Com recurso próprio,,,,MSAN17313
Manutenção de feiras livres/populares ou mercados públicos de alimentos,,,,,MSAN174
,Com recurso repassado pelo governo federal,,,,MSAN17411
,Com recurso repassado pelo governo estadual,,,,MSAN17412
,Com recurso próprio,,,,MSAN17413
Manutenção de bancos de alimentos,,,,,MSAN175
,Com recurso repassado pelo governo federal,,,,MSAN17511
,Com recurso repassado pelo governo estadual,,,,MSAN17512
,Com recurso próprio,,,,MSAN17513
Manutenção de cozinhas comunitárias,,,,,MSAN176
,Com recurso repassado pelo governo federal,,,,MSAN17611
,Com recurso repassado pelo governo estadual,,,,MSAN17612
,Com recurso próprio,,,,MSAN17613
Manutenção de restaurantes populares,,,,,MSAN177
,Com recurso repassado pelo governo federal,,,,MSAN17711
,Com recurso repassado pelo governo estadual,,,,MSAN17712
,Com recurso próprio,,,,MSAN17713
Manutenção de equipamentos de abastecimento público de alimentos (5),,,,,MSAN178
,Com recurso repassado pelo governo federal,,,,MSAN17811
,Com recurso repassado pelo governo estadual,,,,MSAN17812
,Com recurso próprio,,,,MSAN17813
Atividades de agricultura urbana (6),,,,,MSAN179
,Com recurso repassado pelo governo federal,,,,MSAN17911
,Com recurso repassado pelo governo estadual,,,,MSAN17912
,Com recurso próprio,,,,MSAN17913
Programa de alimentação escolar,,,,,MSAN1710
,Com recurso repassado pelo governo federal,,,,MSAN171011
,Com recurso repassado pelo governo estadual,,,,MSAN171012
,Com recurso próprio,,,,MSAN171013
Programa de hortas escolares,,,,,MSAN1711
