CodMun,UF,Cod UF,Mun,PopMun,Faixa_pop,Regiao,MPPM01,MPPM02,MPPM031,MPPM032,MPPM033,MPPM034,MPPM035,MPPM036,MPPM05,MPPM06,MPPM07,MPPM071,MPPM08,MPPM10a1,MPPM10a2,MPPM10a3,MPPM10a4,MPPM10a5,MPPM10a6,MPPM10a7,MPPM10a8,MPPM10a9,MPPM10a10,MPPM10a11,MPPM11,MPPM11A,MPPM111,MPPM1121,MPPM121,MPPM122,MPPM123,MPPM124,MPPM125,MPPM126,MPPM127,MPPM128,MPPM129,MPPM1210,MPPM1211,MPPM13,MPPM131a,MPPM131b,MPPM131c,MPPM132,MPPM14a1,MPPM14a2,MPPM14a3,MPPM14a4,MPPM14,MPPM15,MPPM161,MPPM162,MPPM163,MPPM17,MPPM1711,MPPM1712,MPPM1713,MPPM1714,MPPM1715,MPPM1716,MPPM1717,MPPM1718,MPPM1719,MPPM18,MPPM19,MPPM20,MPPM201,MPPM202,MPPM211,MPPM212,MPPM213,MPPM214,MPPM215,MPPM216,MPPM217,MPPM218,MPPM219,MPPM2110,MPPM2111,MPPM2112,MPPM2113,MPPM24a1,MPPM24a11,MPPM24a2,MPPM24a21,MPPM24a3,MPPM24a31,MPPM24a4,MPPM24a41,MPPM24a5,MPPM24a51,MPPM25,MPPM251,MPPM252
1501501,PA,15,Benevides,63567,5 - 50001 até 100000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,1,Não,-,Não,-,Não,-,Sim,Não,-
1501576,PA,15,Bom Jesus do Tocantins,18005,3 - 10001 até 20000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1501600,PA,15,Bonito,12622,3 - 10001 até 20000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1501709,PA,15,Bragança,123082,6 - 100001 até 500000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Sim,Masculino,49,Branca,Não,Especialização,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Não,-,-,-,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,3840,2005,Ativo,Paritário,Sim,Sim,Não,Sim,2,20,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Ao órgão gestor da assistência social,Representante do governo,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1501725,PA,15,Brasil Novo,24718,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,82,2006,"Foi criado, mas não foi instalado",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1501758,PA,15,Brejo Grande do Araguaia,6783,2 - 5001 até 10000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,1,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1501782,PA,15,Breu Branco,45712,4 - 20001 até 50000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Feminino,28,Branca,Não,Especialização,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,-,-,-,Não,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Não,Sim,1362,2022,Ativo,Paritário,Sim,Não,Sim,Não,12,10,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Ao órgão gestor da assistência social,Há revezamento entre governo e sociedade civil,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Sim,1,Não,-,Não,-,Não,-,Não,-,-
1501808,PA,15,Breves,106968,6 - 100001 até 500000,1 - Norte,Sim,Secretaria exclusiva,-,-,-,-,-,-,Feminino,48,Branca,Não,Especialização,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,-,-,-,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2123,2007,Ativo,Paritário,Não,Sim,Não,Sim,12,16,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Ao órgão gestor da assistência social,Há revezamento entre governo e sociedade civil,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Não,-,Não,-,Não,-,Não,-,Sim,Sim,108
1501907,PA,15,Bujaru,24383,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Sim,1,Não,-,Não,-,Não,-,Não,-,-
1501956,PA,15,Cachoeira do Piriá,19630,3 - 10001 até 20000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Não,-,Não,-,Não,-,Não,-,Sim,Sim,8
1502004,PA,15,Cachoeira do Arari,23981,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,60,2008,Ativo,Paritário,Sim,Sim,Não,Não,12,4,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Ao órgão gestor da assistência social,Representante do governo,Sim,1,"Sim, de todas",Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,-,Não,-,Sim,1,Sim,1,Não,-,Sim,1,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
