municipality_code,municipality,method,transport_scenario,macro_weight_scheme,score,rank,positive_flow,negative_flow,net_flow
1504976,Nova Ipixuna,additive,equal_modes__equal_roles,equal_dimensions,0.3923779881262006,102,,,
1506559,Santa Luzia do Pará,additive,equal_modes__equal_roles,equal_dimensions,0.3917037507946598,103,,,
1501501,Benevides,additive,equal_modes__equal_roles,equal_dimensions,0.3955128205128205,101,,,
1502939,Dom Eliseu,additive,equal_modes__equal_roles,equal_dimensions,0.3865384615384615,106,,,
1502707,Conceição do Araguaia,additive,equal_modes__equal_roles,equal_dimensions,0.3806579783852511,108,,,
1503804,Jacundá,additive,equal_modes__equal_roles,equal_dimensions,0.3758049610322337,109,,,
1503077,Garrafão do Norte,additive,equal_modes__equal_roles,equal_dimensions,0.3748984601257328,110,,,
1507300,São Félix do Xingu,additive,equal_modes__equal_roles,equal_dimensions,0.3738320979894013,111,,,
1507706,São Sebastião da Boa Vista,additive,equal_modes__equal_roles,equal_dimensions,0.3666913894186621,114,,,
1502756,Concórdia do Pará,additive,equal_modes__equal_roles,equal_dimensions,0.3694108921381648,113,,,
1506500,Santa Izabel do Pará,additive,equal_modes__equal_roles,equal_dimensions,0.3809181559181559,107,,,
1503507,Irituia,additive,equal_modes__equal_roles,equal_dimensions,0.3694444444444444,112,,,
1503705,Itupiranga,additive,equal_modes__equal_roles,equal_dimensions,0.3570274422547149,115,,,
1503457,Ipixuna do Pará,additive,equal_modes__equal_roles,equal_dimensions,0.3477649454922182,116,,,
1502509,Chaves,additive,equal_modes__equal_roles,equal_dimensions,0.3421052011961103,118,,,
1506302,Salvaterra,additive,equal_modes__equal_roles,equal_dimensions,0.3456696922606013,117,,,
1507607,São Miguel do Guamá,additive,equal_modes__equal_roles,equal_dimensions,0.3403069153069153,119,,,
1501204,Baião,additive,equal_modes__equal_roles,equal_dimensions,0.336589920974497,120,,,
1506138,Redenção,additive,equal_modes__equal_roles,equal_dimensions,0.336353947002568,121,,,
1500602,Altamira,additive,equal_modes__equal_roles,equal_dimensions,0.315430631582317,123,,,
1502400,Castanhal,additive,equal_modes__equal_roles,equal_dimensions,0.3094154960727994,125,,,
1505908,Porto de Moz,additive,equal_modes__equal_roles,equal_dimensions,0.3162616381462143,122,,,
1505536,Parauapebas,additive,equal_modes__equal_roles,equal_dimensions,0.3028691190208044,126,,,
1505700,Ponta de Pedras,additive,equal_modes__equal_roles,equal_dimensions,0.3105719196628287,124,,,
1507201,São Domingos do Capim,additive,equal_modes__equal_roles,equal_dimensions,0.3022456499729227,127,,,
1508100,Tucuruí,additive,equal_modes__equal_roles,equal_dimensions,0.2905379784593268,128,,,
1501709,Bragança,additive,equal_modes__equal_roles,equal_dimensions,0.2754281870854904,129,,,
1506807,Santarém,additive,equal_modes__equal_roles,equal_dimensions,0.2711253997770851,130,,,
1506161,Rio Maria,additive,equal_modes__equal_roles,equal_dimensions,0.2443437412283173,131,,,
1502152,Canaã dos Carajás,additive,equal_modes__equal_roles,equal_dimensions,0.2290789134634895,132,,,
1507904,Soure,additive,equal_modes__equal_roles,equal_dimensions,0.2190161647643772,133,,,
1500800,Ananindeua,additive,equal_modes__equal_roles,equal_dimensions,0.2087789447340009,135,,,
1508407,Xinguara,additive,equal_modes__equal_roles,equal_dimensions,0.2100795480008963,134,,,
1501808,Breves,additive,equal_modes__equal_roles,equal_dimensions,0.20631433173568,137,,,
1505502,Paragominas,additive,equal_modes__equal_roles,equal_dimensions,0.2072301813874847,136,,,
1501402,Belém,additive,equal_modes__equal_roles,equal_dimensions,0.1880989380989381,138,,,
1500107,Abaetetuba,additive,equal_modes__equal_roles,equal_dimensions,0.1619743604294166,139,,,
1503606,Itaituba,additive,equal_modes__equal_roles,equal_dimensions,0.1473570333120894,140,,,
1504208,Marabá,additive,equal_modes__equal_roles,equal_dimensions,0.1461203070753632,141,,,
1501303,Barcarena,additive,equal_modes__equal_roles,equal_dimensions,0.1385510245060806,142,,,
