municipality_code,municipality,institutional_deficit,service_component_health_deficit,service_component_social_protection_deficit,service_component_justice_deficit,service_component_specialized_protection_network_deficit,service_network_deficit,mean_priority_score,mean_priority_rank,best_priority_rank,worst_priority_rank,priority_rank_range,top_10_frequency,top_quartile_frequency,bottom_quartile_frequency,priority_stability_profile
1503903,Juruti,0.5916666666666667,0.2231404958677686,0.0,0.0,0.6320224719101124,0.21379074194447026,0.447325481710058,88.16666666666667,60,110,50,0.0,0.0,0.020833333333333332,intermediate_or_scenario_sensitive
1501782,Breu Branco,0.5916666666666667,0.0,0.0,0.0,1.0,0.25,0.4491647241647241,88.39583333333333,66,106,40,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1502954,Eldorado do Carajás,0.10833333333333335,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.4196375173647901,91.77083333333333,65,116,51,0.0,0.0,0.125,intermediate_or_scenario_sensitive
1507979,Terra Santa,0.5916666666666667,0.4256198347107438,0.0,0.0,1.0,0.35640495867768596,0.4373654964564057,92.16666666666667,78,110,32,0.0,0.0,0.08333333333333333,intermediate_or_scenario_sensitive
1506005,Prainha,0.5916666666666667,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.4278737256009983,95.04166666666667,72,116,44,0.0,0.0,0.125,intermediate_or_scenario_sensitive
1504422,Marituba,0.5916666666666667,0.0,0.0,0.0,1.0,0.25,0.42753820253820246,95.33333333333333,77,112,35,0.0,0.0,0.041666666666666664,intermediate_or_scenario_sensitive
1501105,Bagre,0.10833333333333335,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.4018312495585223,96.35416666666667,62,115,53,0.0,0.0,0.1875,intermediate_or_scenario_sensitive
1502301,Capitão Poço,0.35833333333333334,0.0,0.0,1.0,1.0,0.5,0.41340973840973855,96.39583333333333,74,118,44,0.0,0.0,0.1875,intermediate_or_scenario_sensitive
1508084,Tucumã,0.35833333333333334,0.0,0.0,0.0,1.0,0.25,0.41153198653198647,96.97916666666667,75,113,38,0.0,0.0,0.10416666666666667,intermediate_or_scenario_sensitive
1508035,Tracuateua,0.10833333333333335,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.4031910009182736,97.79166666666667,72,123,51,0.0,0.0,0.2916666666666667,intermediate_or_scenario_sensitive
1502004,Cachoeira do Arari,0.35833333333333334,0.4256198347107438,0.0,0.0,1.0,0.35640495867768596,0.40452426361517274,99.70833333333333,86,114,28,0.0,0.0,0.10416666666666667,intermediate_or_scenario_sensitive
1500305,Afuá,0.10833333333333335,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.3912769890042617,99.95833333333333,63,118,55,0.0,0.0,0.3125,intermediate_or_scenario_sensitive
1503101,Gurupá,0.10833333333333335,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.39037048809776076,100.70833333333333,64,121,57,0.0,0.0,0.3333333333333333,intermediate_or_scenario_sensitive
1504976,Nova Ipixuna,0.10833333333333335,0.4256198347107438,0.0,1.0,0.6320224719101124,0.5144105766552141,0.3923779881262006,100.95833333333333,79,119,40,0.0,0.0,0.3333333333333333,intermediate_or_scenario_sensitive
1506559,Santa Luzia do Pará,0.35833333333333334,0.4256198347107438,0.0,0.0,1.0,0.35640495867768596,0.39170375079465997,103.5,94,120,26,0.0,0.0,0.25,intermediate_or_scenario_sensitive
1501501,Benevides,0.8083333333333333,0.0,0.0,0.0,1.0,0.25,0.3955128205128205,103.58333333333333,71,131,60,0.0,0.0,0.4166666666666667,intermediate_or_scenario_sensitive
1502939,Dom Eliseu,0.35833333333333334,0.0,0.0,0.0,1.0,0.25,0.3865384615384615,104.58333333333333,88,117,29,0.0,0.0,0.2916666666666667,intermediate_or_scenario_sensitive
