municipality_code,municipality,mean_priority_score,mean_priority_rank,top_quartile_frequency,priority_stability_profile,female_population_2022,selected_vaw_records_2022_2025,mean_annual_selected_vaw_rate_per_100k_women,rate_2022,rate_2023,rate_2024,rate_2025,rate_linear_slope_per_year,rate_cv,years_at_or_above_state_median,contextual_pattern
1504455,Medicilândia,0.5915618892891621,42.375,0.25,scenario_sensitive_higher_priority,12769,203,397.4469418122015,407.2362753543739,469.8880100242776,407.2362753543739,305.42720651578037,-36.80789411856843,0.14835685070320792,3,other_priority_higher_observed_rate
1505809,Portel,0.6007628734901462,42.916666666666664,0.3958333333333333,scenario_sensitive_higher_priority,29876,367,307.1026911233097,281.1621368322399,328.0224929709466,358.1470076315437,261.0791270585085,-3.012451466059713,0.12435938645497577,1,other_priority_lower_observed_rate
1500909,Augusto Corrêa,0.590461138188411,43.895833333333336,0.20833333333333334,intermediate_or_scenario_sensitive,21776,231,265.2002204261572,174.50404114621603,303.08596620132255,261.756061719324,321.45481263776634,39.95224099926524,0.21361783188701863,0,other_priority_lower_observed_rate
1505007,Nova Timboteua,0.5967483694756422,44.291666666666664,0.3333333333333333,scenario_sensitive_higher_priority,6303,73,289.54466127240994,396.63652229097255,285.57829604950024,190.38553069966682,285.57829604950024,-42.83674440742504,0.2522185293085202,1,other_priority_lower_observed_rate
1507458,São Geraldo do Araguaia,0.5864725341998068,44.875,0.08333333333333333,intermediate_or_scenario_sensitive,12013,200,416.21576625322564,382.9185049529676,424.5400815782902,466.1616582036127,391.2428202780321,6.659452260051603,0.0787400787401181,4,other_priority_higher_observed_rate
1505494,Palestina do Pará,0.5835886251795341,45.770833333333336,0.25,scenario_sensitive_higher_priority,3347,58,433.2237824917837,418.2850313713774,537.795040334628,358.53002688975204,418.2850313713774,-17.926501344487594,0.15030686012209213,4,other_priority_higher_observed_rate
1500701,Anajás,0.5598991076263804,51.979166666666664,0.14583333333333334,intermediate_or_scenario_sensitive,13503,200,370.2880841294527,259.2016588906169,451.75146263793226,414.722654224987,355.4765607642746,25.179589720802788,0.19646882704388494,2,other_priority_higher_observed_rate
1507508,São João do Araguaia,0.5679993407266135,52.333333333333336,0.16666666666666666,intermediate_or_scenario_sensitive,6374,99,388.2962033260119,282.39723878255415,329.46344524631314,423.5958581738312,517.7282711013492,80.0125509883903,0.23276199235965472,2,other_priority_higher_observed_rate
1505650,Placas,0.5573091050363778,52.4375,0,intermediate_or_scenario_sensitive,8813,138,391.4671507999546,306.3655962782253,476.5687053216839,419.834335640531,363.09996595937815,11.346873936230555,0.1620339114130283,2,other_priority_higher_observed_rate
1501600,Bonito,0.560553331301544,53.9375,0.16666666666666666,intermediate_or_scenario_sensitive,6145,69,280.7160292921074,358.01464605370217,292.9210740439382,179.00732302685108,292.9210740439382,-30.919446704637902,0.22960839880804146,1,other_priority_lower_observed_rate
1500131,Abel Figueiredo,0.5493701584610676,54.625,0.3125,scenario_sensitive_higher_priority,3023,73,603.7049288785973,694.6741647370162,529.2755540853457,595.4349983460139,595.4349983460139,-23.155805491233867,0.09782778669236783,4,other_priority_higher_observed_rate
1503093,Goianésia do Pará,0.5500570977843705,55.041666666666664,0,intermediate_or_scenario_sensitive,12837,186,362.2341668614162,319.3892654046896,381.70912206901926,389.49910415206045,358.3391758198956,12.46397133286593,0.07526881720430108,2,other_priority_higher_observed_rate
1500347,Água Azul do Norte,0.5441518918791646,55.9375,0.020833333333333332,intermediate_or_scenario_sensitive,8384,99,295.20515267175574,226.62213740458014,262.40458015267177,322.04198473282446,369.7519083969466,48.9026717557252,0.18597931959113104,1,other_priority_lower_observed_rate
