municipality_code,municipality,method,mean_score,mean_rank,best_rank,worst_rank,top_10_frequency,top_quartile_frequency
1503804,Jacundá,promethee_ii,0.4297357839979586,93.79166666666667,63,113,0.0,0.0
1503804,Jacundá,topsis,0.3628225461760506,104.14583333333333,65,118,0.0,0.0
1503903,Juruti,additive,0.4473254817100578,88.16666666666667,60,110,0.0,0.0
1503903,Juruti,promethee_ii,0.39817250140404553,98.54166666666667,60,123,0.0,0.0
1503903,Juruti,topsis,0.40444421158441846,97.35416666666667,59,123,0.0,0.0
1504000,Limoeiro do Ajuru,additive,0.6350474441383532,30.5,13,51,0.0,0.6458333333333334
1504000,Limoeiro do Ajuru,promethee_ii,0.7971041440260836,15.083333333333334,4,39,0.4375,0.9583333333333334
1504000,Limoeiro do Ajuru,topsis,0.637568103674635,22.854166666666668,3,50,0.1875,0.75
1504059,Mãe do Rio,additive,0.47643627416354684,77.8125,56,99,0.0,0.0
1504059,Mãe do Rio,promethee_ii,0.48479827260994135,80.6875,55,112,0.0,0.0
1504059,Mãe do Rio,topsis,0.44041732326641886,83.08333333333333,52,110,0.0,0.0
1504109,Magalhães Barata,additive,0.5186739186739187,63.333333333333336,45,77,0.0,0.0
1504109,Magalhães Barata,promethee_ii,0.6214211627301017,48.791666666666664,29,71,0.0,0.10416666666666667
1504109,Magalhães Barata,topsis,0.489345126717951,62.958333333333336,39,83,0.0,0.0
1504208,Marabá,additive,0.14612030707536322,140.66666666666666,137,143,0.0,0.0
1504208,Marabá,promethee_ii,0.07405458813643764,139.0,126,144,0.0,0.0
1504208,Marabá,topsis,0.15994806798557923,138.58333333333334,128,142,0.0,0.0
1504307,Maracanã,additive,0.4845035435944527,74.64583333333333,57,102,0.0,0.0
1504307,Maracanã,promethee_ii,0.5233065940467482,72.22916666666667,45,111,0.0,0.0
1504307,Maracanã,topsis,0.4552984007869372,76.8125,56,114,0.0,0.0
1504406,Marapanim,additive,0.5073868051140779,66.45833333333333,44,82,0.0,0.0
1504406,Marapanim,promethee_ii,0.5706915808703388,60.166666666666664,33,85,0.0,0.041666666666666664
1504406,Marapanim,topsis,0.46816615496690467,70.83333333333333,38,89,0.0,0.0
1504422,Marituba,additive,0.42753820253820257,95.33333333333333,77,112,0.0,0.0
1504422,Marituba,promethee_ii,0.33359182331604664,112.85416666666667,86,128,0.0,0.0
1504422,Marituba,topsis,0.3895095442552114,103.79166666666667,81,123,0.0,0.0
1504455,Medicilândia,additive,0.591561889289162,42.375,15,56,0.0,0.25
1504455,Medicilândia,promethee_ii,0.666706860979803,39.5,17,58,0.0,0.3541666666666667
1504455,Medicilândia,topsis,0.531618928402091,48.5,12,71,0.0,0.25
1504505,Melgaço,additive,0.4769445621718349,75.35416666666667,46,99,0.0,0.0
1504505,Melgaço,promethee_ii,0.6103433630443507,51.645833333333336,23,92,0.0,0.25
