municipality_code,municipality,equal_modes__equal_roles__score,equal_modes__equal_roles__rank,equal_modes__availability_emphasis__score,equal_modes__availability_emphasis__rank,equal_modes__proximity_emphasis__score,equal_modes__proximity_emphasis__rank,road_emphasis__equal_roles__score,road_emphasis__equal_roles__rank,road_emphasis__availability_emphasis__score,road_emphasis__availability_emphasis__rank,road_emphasis__proximity_emphasis__score,road_emphasis__proximity_emphasis__rank,water_emphasis__equal_roles__score,water_emphasis__equal_roles__rank,water_emphasis__availability_emphasis__score,water_emphasis__availability_emphasis__rank,water_emphasis__proximity_emphasis__score,water_emphasis__proximity_emphasis__rank,air_emphasis__equal_roles__score,air_emphasis__equal_roles__rank,air_emphasis__availability_emphasis__score,air_emphasis__availability_emphasis__rank,air_emphasis__proximity_emphasis__score,air_emphasis__proximity_emphasis__rank,mean_rank,minimum_rank,maximum_rank,rank_range,mean_score,score_range
1502509,Chaves,0.43842268842268844,91,0.48018648018648014,65,0.39665889665889664,104,0.3336247086247086,116,0.36538461538461536,112,0.3018648018648018,119,0.4771270396270396,60,0.5145687645687645,44,0.4396853146853147,88,0.504516317016317,61,0.5606060606060606,54,0.44842657342657344,84,83.16666666666667,44,119,75,0.43842268842268844,0.25874125874125875
1502608,Colares,0.785159285159285,2,0.7738927738927739,2,0.7964257964257964,2,0.7741841491841491,4,0.7529137529137528,4,0.7954545454545454,4,0.7555361305361306,2,0.747086247086247,2,0.763986013986014,2,0.8257575757575757,2,0.8216783216783217,2,0.8298368298368298,3,2.5833333333333335,2,4,2,0.7851592851592852,0.08275058275058278
1502707,Conceição do Araguaia,0.5221445221445221,47,0.5413105413105412,42,0.5029785029785029,70,0.4921328671328671,74,0.5067987567987567,66,0.4774669774669774,83,0.4956293706293706,53,0.5031080031080031,48,0.4881507381507382,70,0.5786713286713286,43,0.614024864024864,43,0.5433177933177933,58,58.083333333333336,42,83,41,0.5221445221445221,0.1365578865578866
1502756,Concórdia do Pará,0.4475524475524476,87,0.40326340326340326,98,0.4918414918414918,74,0.5305944055944056,57,0.5110722610722611,61,0.5501165501165501,55,0.41608391608391615,92,0.356060606060606,107,0.4761072261072261,74,0.395979020979021,99,0.34265734265734266,103,0.44930069930069927,82,82.41666666666667,55,107,52,0.44755244755244755,0.20745920745920748
1502764,Cumaru do Norte,0.45104895104895104,84,0.4405594405594405,83,0.4615384615384615,87,0.4134615384615385,100,0.4020979020979021,106,0.4248251748251748,100,0.36101398601398604,114,0.34557109557109555,112,0.3764568764568764,112,0.5786713286713286,43,0.574009324009324,50,0.5833333333333333,39,85.83333333333333,39,114,75,0.45104895104895104,0.2377622377622377
1502772,Curionópolis,0.548951048951049,41,0.5609945609945609,36,0.5369075369075369,52,0.5524475524475525,48,0.5775058275058275,30,0.5273892773892774,61,0.4597902097902098,70,0.45279720279720276,66,0.46678321678321677,78,0.6346153846153846,30,0.6526806526806526,33,0.6165501165501166,31,48.0,30,78,48,0.548951048951049,0.1998834498834498
1502806,Curralinho,0.2645687645687646,133,0.25666925666925666,129,0.27246827246827243,132,0.22115384615384615,135,0.2123154623154623,135,0.22999222999222996,131,0.34265734265734266,119,0.3442113442113442,113,0.34110334110334106,121,0.22989510489510492,133,0.21348096348096346,132,0.24630924630924628,132,128.75,113,135,22,0.2645687645687646,0.1318958818958819
1502855,Curuá,0.404040404040404,103,0.3698523698523698,108,0.4382284382284382,94,0.4192890442890443,99,0.3747086247086247,109,0.46386946386946387,89,0.45308857808857805,73,0.432983682983683,75,0.47319347319347316,75,0.33974358974358976,116,0.30186480186480186,113,0.3776223776223776,107,96.75,73,116,43,0.40404040404040403,0.1713286713286713
1502905,Curuçá,0.47979797979797983,70,0.44703444703444695,74,0.5125615125615125,64,0.5783799533799534,38,0.5485625485625485,43,0.6081973581973581,36,0.48193473193473196,58,0.4444444444444444,70,0.5194250194250193,50,0.37907925407925414,104,0.3480963480963481,99,0.41006216006215995,96,66.83333333333333,36,104,68,0.47979797979797983,0.26010101010101
1502939,Dom Eliseu,0.44871794871794873,85,0.4599844599844599,69,0.4374514374514374,95,0.451923076923077,88,0.4592074592074592,77,0.4446386946386946,91,0.375,103,0.3706293706293706,95,0.3793706293706293,111,0.5192307692307693,58,0.5501165501165501,56,0.4883449883449883,71,83.25,56,111,55,0.4487179487179487,0.17948717948717952
1502954,Eldorado do Carajás,0.40520590520590516,102,0.3532763532763533,115,0.45713545713545706,89,0.5136946386946387,71,0.4671717171717172,76,0.5602175602175602,51,0.36305361305361306,110,0.3043900543900544,123,0.4217171717171717,93,0.3388694638694638,117,0.28826728826728826,116,0.38947163947163943,102,97.08333333333333,51,123,72,0.4052059052059052,0.27195027195027194
1503002,Faro,0.1526806526806527,142,0.18440818440818438,142,0.12095312095312095,143,0.13111888111888115,143,0.15578865578865578,142,0.10644910644910646,143,0.20891608391608396,141,0.25679875679875686,134,0.16103341103341104,142,0.11800699300699302,142,0.14063714063714064,142,0.09537684537684539,144,141.66666666666666,134,144,10,0.1526806526806527,0.16142191142191148
1503044,Floresta do Araguaia,0.634032634032634,18,0.6762496762496761,13,0.5918155918155918,32,0.6048951048951049,29,0.6447163947163947,15,0.565073815073815,48,0.6302447552447552,14,0.6658896658896658,7,0.5945998445998446,28,0.6669580419580419,22,0.7181429681429681,17,0.6157731157731157,33,23.0,7,48,41,0.634032634032634,0.15306915306915303
1503077,Garrafão do Norte,0.41025641025641024,98,0.3589743589743589,111,0.4615384615384614,88,0.5148601398601399,67,0.4714452214452214,74,0.5582750582750582,52,0.3723776223776224,104,0.3123543123543123,121,0.43240093240093236,90,0.34353146853146854,114,0.29312354312354305,115,0.39393939393939387,101,94.58333333333333,52,121,69,0.4102564102564102,0.26515151515151514
1503093,Goianésia do Pará,0.4972804972804973,61,0.52007252007252,51,0.4744884744884745,81,0.4481351981351982,89,0.47047397047397044,75,0.42579642579642585,99,0.45833333333333337,71,0.4747474747474747,61,0.44191919191919193,86,0.5853729603729604,42,0.614996114996115,41,0.5557498057498058,54,67.58333333333333,41,99,58,0.4972804972804972,0.1891996891996891
1503101,Gurupá,0.24300699300699302,134,0.2387982387982388,134,0.24721574721574718,134,0.19143356643356646,136,0.18725718725718726,136,0.1956099456099456,136,0.3500874125874126,116,0.34654234654234656,111,0.3536324786324786,120,0.18750000000000003,135,0.18259518259518262,135,0.19240481740481738,139,130.5,111,139,28,0.243006993006993,0.17103729603729598
1503200,Igarapé-Açu,0.44483294483294483,89,0.4030044030044029,99,0.4866614866614866,76,0.56002331002331,44,0.533022533022533,49,0.587024087024087,44,0.40238927738927743,97,0.3480963480963481,110,0.45668220668220666,81,0.3720862470862471,106,0.3278943278943278,106,0.4162781662781663,94,82.91666666666667,44,110,66,0.44483294483294483,0.2591297591297592
1503309,Igarapé-Miri,0.30147630147630144,129,0.26832426832426826,128,0.3346283346283345,118,0.2969114219114219,123,0.2711732711732711,131,0.3226495726495726,116,0.32896270396270394,123,0.29759129759129754,125,0.36033411033411034,115,0.27855477855477856,126,0.2362082362082362,127,0.32090132090132084,121,123.5,115,131,16,0.3014763014763014,0.12412587412587414
1503408,Inhangapi,0.5928515928515928,28,0.5648795648795648,34,0.6208236208236206,26,0.6334498834498834,20,0.6212121212121211,21,0.6456876456876456,23,0.6217948717948717,18,0.5973193473193472,23,0.6462703962703962,13,0.5233100233100233,55,0.47610722610722606,68,0.5705128205128205,45,31.166666666666668,13,68,55,0.5928515928515928,0.17016317016317012
1503457,Ipixuna do Pará,0.6208236208236209,19,0.6073556073556072,26,0.6342916342916343,20,0.6797785547785549,11,0.66006216006216,11,0.6994949494949494,11,0.5273892773892774,41,0.4966977466977467,50,0.5580808080808081,37,0.6553030303030303,24,0.6653069153069153,30,0.6452991452991452,25,25.416666666666668,11,50,39,0.6208236208236207,0.2027972027972027
1503507,Irituia,0.49999999999999994,60,0.462056462056462,68,0.5379435379435379,51,0.5445804195804196,54,0.5283605283605284,54,0.5608003108003108,50,0.5052447552447552,50,0.46114996114996115,65,0.5493395493395493,40,0.45017482517482516,81,0.39665889665889664,85,0.5036907536907537,67,60.416666666666664,40,85,45,0.5000000000000001,0.16414141414141414
1503606,Itaituba,0.5784770784770785,34,0.628075628075628,20,0.5288785288785288,57,0.5265151515151516,58,0.5479797979797979,44,0.505050505050505,74,0.5844988344988346,26,0.6548174048174048,8,0.5141802641802641,56,0.6244172494172495,33,0.6814296814296814,23,0.5674048174048174,48,40.083333333333336,8,74,66,0.5784770784770784,0.17637917637917644
1503705,Itupiranga,0.4638694638694638,78,0.4408184408184408,82,0.48692048692048684,75,0.5218531468531469,65,0.4897047397047397,70,0.554001554001554,53,0.4895104895104895,54,0.48057498057498055,58,0.4984459984459984,63,0.3802447552447552,103,0.3521756021756021,98,0.40831390831390824,97,74.66666666666667,53,103,50,0.4638694638694638,0.20182595182595192
1503754,Jacareacanga,0.3741258741258741,109,0.40688940688940683,97,0.34136234136234134,117,0.2937062937062937,127,0.3209013209013209,122,0.2665112665112665,128,0.3277972027972028,124,0.3644133644133644,100,0.29118104118104116,129,0.5008741258741258,62,0.5353535353535354,59,0.4663947163947164,74,104.0,59,129,70,0.3741258741258741,0.26884226884226886
1503804,Jacundá,0.4075369075369075,101,0.37088837088837084,107,0.4441854441854442,91,0.4533799533799534,87,0.42327117327117325,97,0.4834887334887335,82,0.42336829836829837,88,0.3844211344211344,90,0.46231546231546233,80,0.34586247086247085,113,0.304972804972805,112,0.38675213675213677,103,95.91666666666667,80,113,33,0.4075369075369076,0.1785159285159285
1503903,Juruti,0.46348096348096346,79,0.5159285159285159,53,0.41103341103341096,100,0.40005827505827507,103,0.4382284382284382,93,0.3618881118881119,111,0.495920745920746,52,0.5413752913752914,37,0.45046620046620045,82,0.49446386946386944,63,0.5681818181818181,51,0.4207459207459207,93,76.41666666666667,37,111,74,0.4634809634809634,0.20629370629370625
