municipality_code,municipality,road_federal_km,road_state_km,road_paved_km,road_unpaved_km,road_total_km,road_structured_presence,road_federal_presence,road_state_presence,municipality_area_km2,road_density_km_per_1000_km2,distance_to_structured_road_km
1506559,Santa Luzia do Pará,48.000227,0.0,48.000227,0.0,48.000227,1,1,0,1356.822609,35.376936,14.957387
1506583,Santa Maria das Barreiras,90.40747,87.34376,90.40747,87.34376,177.751229,1,1,1,10351.434016,17.171653,4.865484
1506609,Santa Maria do Pará,36.598271,13.124339,47.353764,2.368847,49.722611,1,1,1,460.6682,107.935843,3.551277
1506708,Santana do Araguaia,173.328211,30.272735,173.328211,30.272735,203.600946,1,1,1,11611.477285,17.534457,17.208595
1506807,Santarém,36.052231,114.095288,150.147519,0.0,150.147519,1,1,1,17904.710793,8.385923,67.442393
1506906,Santarém Novo,0.0,26.260744,10.964923,15.295822,26.260744,1,0,1,231.071177,113.647858,0.311719
1507003,Santo Antônio do Tauá,0.0,54.755652,45.525362,9.230291,54.755652,1,0,1,540.411089,101.322222,1.773353
1507102,São Caetano de Odivelas,0.0,9.011983,9.011983,0.0,9.011983,1,0,1,466.7098,19.309608,4.031435
1507151,São Domingos do Araguaia,43.678535,0.0,43.678535,0.0,43.678535,1,1,0,1398.340539,31.235978,3.302095
1507201,São Domingos do Capim,0.0,66.62482,2.195493,64.429328,66.62482,1,0,1,1696.787379,39.265273,11.184986
1507300,São Félix do Xingu,0.0,50.301258,35.888474,14.412784,50.301258,1,0,1,84255.643708,0.597008,103.745646
1507409,São Francisco do Pará,21.668067,32.858819,40.080958,14.445929,54.526887,1,1,1,482.312219,113.05309,6.843916
1507458,São Geraldo do Araguaia,49.908089,27.478869,18.304315,59.082643,77.386958,1,1,1,3181.657007,24.322848,17.779629
1507466,São João da Ponta,0.0,14.853626,0.0,14.853626,14.853626,1,0,1,197.010905,75.394945,1.817172
1507474,São João de Pirabas,0.0,70.216824,43.540719,26.676105,70.216824,1,0,1,672.770358,104.369675,4.167957
1507508,São João do Araguaia,32.664541,0.0,32.664541,0.0,32.664541,1,1,0,1285.362477,25.412708,8.597209
1507607,São Miguel do Guamá,20.043804,38.769184,42.70348,16.109509,58.812989,1,1,1,1101.429648,53.396954,12.559126
1507706,São Sebastião da Boa Vista,0.0,0.0,0.0,0.0,0.0,0,0,0,1636.901103,0.0,56.725485
1507755,Sapucaia,36.83369,1.359987,38.193677,0.0,38.193677,1,1,1,1302.071265,29.333016,0.9401
1507805,Senador José Porfírio,0.0,36.163155,3.670435,32.49272,36.163155,1,0,1,14430.832952,2.505964,98.303009
1507904,Soure,0.0,14.994424,14.994424,0.0,14.994424,1,0,1,2869.672701,5.225134,29.128818
1507953,Tailândia,0.0,96.882745,89.791693,7.091051,96.882745,1,0,1,4449.259482,21.775027,19.395916
1507961,Terra Alta,0.0,18.232642,13.07661,5.156032,18.232642,1,0,1,206.159162,88.439639,3.90184
1507979,Terra Santa,0.0,0.0,0.0,0.0,0.0,0,0,0,1897.645081,0.0,71.124441
1508001,Tomé-Açu,0.0,160.05055,148.071281,11.979269,160.05055,1,0,1,5171.246389,30.950092,8.714178
