,road_federal_km,road_state_km,road_other_km,road_paved_km,road_unpaved_km,road_total_km,road_mapped_presence,road_federal_presence,road_state_presence,municipality_area_km2,road_density_km_per_1000_km2,distance_to_mapped_road_km,port_count,port_presence,distance_to_port_km,decea_airport_count,decea_airport_presence,distance_to_decea_airport_km,passenger_crossing_km,passenger_crossing_presence,distance_to_passenger_crossing_km,navigated_waterway_km,navigated_waterway_presence,distance_to_navigated_waterway_km
road_density_km_per_1000_km2,0.03716186813964146,0.35170756212431187,0.12200837694651456,-0.054041251510835095,0.3255657363239112,0.10879981348833097,0.3967890805147543,0.15601209186948556,0.4916595352911159,-0.6946691932670784,1.0,-0.794790174817378,-0.40006271475753674,-0.38419870403176176,-0.3722040696701702,-0.32301695509952233,-0.2893747649482844,-0.3459017130557519,-0.06431956480591908,-0.06710989006894408,-0.3310101740495753,-0.5315496239270766,-0.47829468696837363,-0.07246612753356588
distance_to_mapped_road_km,-0.09003574797060303,-0.2720192701777987,-0.03259659415387111,0.005480117067990017,-0.2266873332051914,-0.035868311495579015,-0.36612372529108844,-0.17549878966769308,-0.40003180845160713,0.6399123864641106,-0.794790174817378,1.0,0.25831019153433277,0.24060588249773632,0.44601720118961496,0.3491327142630088,0.3057223581560647,0.2878024274575999,0.11830798779868276,0.12349433163433113,0.19129089301503094,0.42864783867858847,0.3552746362118289,0.15938027489751627
port_count,-0.0479683760549787,0.003420081836612847,-0.15857488934449276,0.012028059721650155,-0.23954890981243898,-0.12912440708282583,-0.1044646901489178,-0.07012809039588211,-0.03459058170464866,0.24070136646214949,-0.40006271475753674,0.25831019153433277,1.0,0.9418667641631838,-0.24198399809574792,0.21273237821780652,0.19743559886779827,0.09001184863498622,0.060082743442141734,0.0629573423582445,0.3011470237888633,0.5755507223499456,0.5354451586318636,-0.2672886129695218
port_presence,-0.06599062531818432,-0.009059535073306601,-0.19209935201588088,-0.03283231007368407,-0.2258969017152494,-0.16465658744218362,-0.13495043168856574,-0.0902031590750609,-0.04058072616742593,0.2091497587775872,-0.38419870403176176,0.24060588249773632,0.9418667641631838,1.0,-0.28444367193751857,0.15744995242252177,0.1391037210186643,0.10608075765199222,0.06249591122829278,0.065212830264001,0.273400564674062,0.4984518301859935,0.46977776691231055,-0.23491700905898594
distance_to_port_km,0.2288732379144836,-0.15442926379476177,0.5485190876415468,0.4200336718639367,0.3274985316021944,0.5398936510134078,0.02625588468222945,0.10018896421642248,-0.30037476143383834,0.6940479061168716,-0.3722040696701702,0.44601720118961496,-0.24198399809574792,-0.28444367193751857,1.0,0.43151636965748835,0.3351251641863747,0.22099911582670204,0.09874635777804411,0.09529927874978064,-0.07815690057069367,-0.07707898897532701,-0.14744066099199357,0.6940036974519733
decea_airport_count,0.22578100022366773,0.08280285025187165,0.48509967350030386,0.4763485016518604,0.2801432036173796,0.49502151918184345,0.1308373379257248,0.11647277269815072,-0.007162000511851899,0.5938789800112464,-0.32301695509952233,0.3491327142630088,0.21273237821780652,0.15744995242252177,0.43151636965748835,1.0,0.9303196122407767,-0.3372883773797516,0.2060059661898809,0.1980805049248279,0.09416539235617404,0.06086242065245871,0.0012685130783152323,0.4270998372603416
decea_airport_presence,0.19895086576417664,0.012800297412733423,0.37124175965074363,0.3769884433899686,0.18338326148186637,0.37692232663009795,0.12126781251816648,0.1118033988749895,-0.05834599659915782,0.49149463262029636,-0.2893747649482844,0.3057223581560647,0.19743559886779827,0.1391037210186643,0.3351251641863747,0.9303196122407767,1.0,-0.3504948127931277,0.19272312336772301,0.18752289237539818,0.04644306861605792,0.07363473752423866,0.028049635672660722,0.31374130525524013
distance_to_decea_airport_km,-0.05435170937221084,-0.20502704464885937,-0.05556694379497758,-0.12377339298495514,-0.0882928184004097,-0.0673073447226542,-0.3048599943658864,-0.10758546493038657,-0.2459844716882251,0.2654448999276586,-0.3459017130557519,0.2878024274575999,0.09001184863498622,0.10608075765199222,0.22099911582670204,-0.3372883773797516,-0.3504948127931277,1.0,-0.07730049401041346,-0.07274323644214024,0.06832650108512177,0.2559099877935596,0.1977121907123758,0.02677839401977333
passenger_crossing_km,0.2716003604215892,-0.0405855078070957,0.21894142160594945,0.04728904345537435,0.21369105392433232,0.21248288033076235,0.07945389708334666,0.2279341648732886,-0.00648509437369738,0.14486708339425014,-0.06431956480591908,0.11830798779868276,0.060082743442141734,0.06249591122829278,0.09874635777804411,0.2060059661898809,0.19272312336772301,-0.07730049401041346,1.0,0.9982683969692435,-0.39196362055942785,-0.09829964129248986,-0.10239139302814534,0.2792379684261072
passenger_crossing_presence,0.26545699604810924,-0.04176606901735909,0.21148074601558006,0.046292941360142364,0.19993056734619508,0.2047133621430815,0.07959171834405435,0.22538123989521242,-0.006838256275499512,0.14153916548044343,-0.06710989006894408,0.12349433163433113,0.0629573423582445,0.065212830264001,0.09529927874978064,0.1980805049248279,0.18752289237539818,-0.07274323644214024,0.9982683969692435,1.0,-0.39247513615294277,-0.09367371153666067,-0.0959940658082961,0.27180030980706665
distance_to_passenger_crossing_km,-0.2225439791504654,0.08886174958617557,-0.2728025443903445,0.04839965360561814,-0.3851837096508049,-0.23129514268540902,-0.22609234031919803,-0.2585413204108352,0.061408391648273025,0.1054457037215658,-0.3310101740495753,0.19129089301503094,0.3011470237888633,0.273400564674062,-0.07815690057069367,0.09416539235617404,0.04644306861605792,0.06832650108512177,-0.39196362055942785,-0.39247513615294277,1.0,0.46123883629793433,0.4683012298784601,-0.32619966240655895
navigated_waterway_km,-0.15906065905040417,-0.030418013511214446,-0.23434448993643534,0.029714227491767567,-0.433438235988761,-0.2109090394278128,-0.2895588715343144,-0.1727607827822839,-0.10473021706640874,0.33322486927470096,-0.5315496239270766,0.42864783867858847,0.5755507223499456,0.4984518301859935,-0.07707898897532701,0.06086242065245871,0.07363473752423866,0.2559099877935596,-0.09829964129248986,-0.09367371153666067,0.46123883629793433,1.0,0.9498060648640986,-0.5212512250176954
navigated_waterway_presence,-0.16197862548033565,-0.017406437554471816,-0.2832651779258904,0.0,-0.4622691984113364,-0.2609953723950878,-0.21769714943712606,-0.15680223027043103,-0.043369474610463976,0.22807754423475435,-0.47829468696837363,0.3552746362118289,0.5354451586318636,0.46977776691231055,-0.14744066099199357,0.0012685130783152323,0.028049635672660722,0.1977121907123758,-0.10239139302814534,-0.0959940658082961,0.4683012298784601,0.9498060648640986,1.0,-0.5766043241082769
distance_to_navigated_waterway_km,0.22793058235388514,-0.03762346450736589,0.5378578711195809,0.30565534007850925,0.5158136086956417,0.5269213319466237,0.1976484652467828,0.1280939441827415,-0.11299144063282238,0.4158226830640624,-0.07246612753356588,0.15938027489751627,-0.2672886129695218,-0.23491700905898594,0.6940036974519733,0.4270998372603416,0.31374130525524013,0.02677839401977333,0.2792379684261072,0.27180030980706665,-0.32619966240655895,-0.5212512250176954,-0.5766043241082769,1.0
