municipality_code,municipality,road_federal_km,road_state_km,road_other_km,road_paved_km,road_unpaved_km,road_total_km,road_mapped_presence,road_federal_presence,road_state_presence,municipality_area_km2,road_density_km_per_1000_km2,distance_to_mapped_road_km,port_count,port_presence,distance_to_port_km,decea_airport_count,decea_airport_presence,distance_to_decea_airport_km,passenger_crossing_km,passenger_crossing_presence,distance_to_passenger_crossing_km,navigated_waterway_km,navigated_waterway_presence,distance_to_navigated_waterway_km
1502905,Curuçá,0.0,43.4225,150.964672,37.582377,124.73044,194.387172,1,0,1,680.224048,285.769333,0.182924,1,1,5.694257,0,0,53.336535,0.0,0,199.245679,0.0,0,44.777926
1502939,Dom Eliseu,3.125937,0.0,668.286443,88.346827,305.763779,671.41238,1,1,0,5298.702144,126.71261,2.394034,0,0,132.43096,2,1,32.072133,0.0,0,122.581565,0.0,0,189.909138
1502954,Eldorado do Carajás,81.462393,0.0,645.587977,141.161664,387.872053,727.05037,1,1,0,2966.819024,245.060573,0.254672,0,0,85.888994,0,0,43.769289,0.0,0,83.907769,0.0,0,85.508137
1503002,Faro,0.0,0.0,53.702061,0.0,6.790044,53.702061,1,0,0,11798.538653,4.551586,83.838063,1,1,158.59668,0,0,83.534963,0.0,0,404.955734,13.857295,1,144.737326
1503044,Floresta do Araguaia,0.0,0.0,664.686035,298.839645,164.401277,664.686035,1,0,0,3454.461231,192.413807,3.257461,1,1,25.405438,2,1,29.022714,2.251206,1,25.11165,0.0,0,249.275498
1503077,Garrafão do Norte,0.0,48.075762,372.997592,0.0,285.75744,421.073354,1,0,1,1619.819667,259.95076,0.298948,0,0,72.388624,0,0,43.763009,0.0,0,72.386358,0.0,0,79.509795
1503093,Goianésia do Pará,0.0,172.274062,517.106925,319.151092,210.03931,689.380987,1,0,1,7050.756187,97.77405,9.123911,0,0,105.89363,2,1,20.852293,0.0,0,149.060498,10.099326,1,95.662255
1503101,Gurupá,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,8577.555709,0.0,90.154294,2,1,36.489965,0,0,80.000614,0.0,0,120.671649,237.910396,1,17.46272
1503200,Igarapé-Açu,4.172426,57.347216,271.968737,18.92744,267.460786,333.488379,1,1,1,790.971539,421.618684,0.473375,0,0,33.64783,0,0,42.256136,0.0,0,160.432741,0.0,0,47.978954
1503309,Igarapé-Miri,0.0,99.272574,20.641296,117.109378,0.0,119.91387,1,0,1,2004.046293,59.835878,5.696216,0,0,33.983052,0,0,33.80764,0.0,0,295.872647,20.992669,1,17.165622
1503408,Inhangapi,0.0,7.511485,135.858949,10.891442,98.482285,143.370434,1,0,1,475.274903,301.65791,1.328158,2,1,12.369987,0,0,23.2536,0.0,0,185.925224,25.358033,1,9.398761
1503457,Ipixuna do Pará,62.544777,47.615749,1167.295065,251.532511,704.638833,1277.455591,1,1,1,5245.16337,243.549247,0.098927,0,0,18.254421,2,1,30.114385,0.0,0,186.812676,0.0,0,99.486049
1503507,Irituia,25.386612,39.731618,345.542064,25.386612,260.688907,410.660295,1,1,1,1394.454029,294.495399,1.889745,0,0,25.034402,0,0,23.917454,0.0,0,116.559944,19.21314,1,24.75502
1503606,Itaituba,495.423506,0.0,1351.72012,649.047035,940.402027,1847.143627,1,1,0,62104.184538,29.74266,1.791497,25,1,136.556005,41,1,29.363924,2.768147,1,192.821955,75.915003,1,182.67792
1503705,Itupiranga,29.261724,0.0,1086.233114,436.560147,352.79078,1115.494837,1,1,0,7900.907737,141.185655,0.351786,1,1,63.93761,0,0,44.797906,0.0,0,151.774127,54.352176,1,55.859766
1503754,Jacareacanga,157.488409,0.0,131.321775,0.0,177.336105,288.810184,1,1,0,53394.634298,5.408974,110.139705,2,1,140.144981,8,1,17.739064,0.0,0,396.53092,0.0,0,378.619478
1503804,Jacundá,0.0,20.088724,287.216277,42.584931,210.90723,307.305002,1,0,1,2015.417074,152.477125,1.449757,0,0,61.447372,0,0,41.661156,0.0,0,115.581386,5.911576,1,23.95704
1503903,Juruti,0.0,0.0,277.130918,0.0,2.471494,277.130918,1,0,0,8311.732261,33.342137,10.271313,9,1,48.097514,1,1,51.976541,0.0,0,182.475006,77.07237,1,34.486026
1504000,Limoeiro do Ajuru,20.199411,0.0,1.440271,21.639683,0.0,21.639683,1,1,0,1494.041575,14.48399,7.528734,1,1,12.842,0,0,64.747154,0.0,0,280.771196,45.615317,1,15.091287
1504059,Mãe do Rio,29.189627,3.283342,131.602982,29.189627,93.105014,164.075951,1,1,1,472.365959,347.349228,0.74461,0,0,26.984219,0,0,32.161935,0.0,0,122.750798,0.0,0,33.941036
1504109,Magalhães Barata,0.0,28.945862,80.186563,11.096911,77.450943,109.132425,1,0,1,325.995591,334.766567,1.231231,0,0,29.160123,0,0,36.559136,0.0,0,172.840721,0.0,0,71.011883
1504208,Marabá,67.224503,0.0,1259.67009,500.036242,454.518639,1326.894594,1,1,0,15165.358183,87.495104,5.677863,3,1,81.517492,5,1,20.593763,0.0,0,152.950802,25.853462,1,79.150116
1504307,Maracanã,0.0,100.431104,141.691007,8.414201,203.774523,242.122111,1,0,1,812.863697,297.863113,0.497068,0,0,16.679358,0,0,20.033843,0.0,0,156.442931,0.0,0,86.22266
1504406,Marapanim,0.0,69.927564,152.426256,26.587878,173.439451,222.35382,1,0,1,809.506667,274.678183,1.265217,0,0,17.599093,0,0,48.032515,0.0,0,185.888248,0.0,0,58.296276
1504422,Marituba,7.72836,15.099739,7.325126,30.153226,0.0,30.153226,1,1,1,103.72397,290.706436,1.788542,0,0,7.890976,0,0,9.247753,0.0,0,230.064465,4.921451,1,6.993055
1504455,Medicilândia,67.769983,0.0,314.760156,65.232971,212.737194,382.530139,1,1,0,8273.569694,46.235199,21.181709,0,0,111.613418,0,0,87.450373,0.0,0,168.587052,0.0,0,135.617727
1504505,Melgaço,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6781.654655,0.0,53.826673,0,0,49.954019,1,1,55.745666,0.0,0,180.113883,97.986927,1,34.909808
1504604,Mocajuba,0.0,14.917144,128.294958,99.083597,0.0,143.212102,1,0,1,873.912083,163.874724,2.288957,0,0,30.243597,0,0,10.740691,0.0,0,267.972326,27.373337,1,13.311088
1504703,Moju,0.0,129.338261,822.93826,553.406961,81.562063,952.276521,1,0,1,9127.967806,104.32514,3.249788,14,1,8.442254,5,1,33.816432,0.0,0,293.856242,144.826538,1,8.722416
1504752,Mojuí dos Campos,0.0,102.812012,971.061513,790.150398,17.550888,1073.873525,1,0,1,4988.506317,215.269553,0.153948,0,0,71.172278,0,0,59.808686,0.0,0,208.527764,0.0,0,68.462391
1504802,Monte Alegre,0.0,122.959853,986.855222,719.031661,147.149744,1109.815075,1,0,1,18151.843563,61.140626,43.340714,3,1,111.914174,2,1,64.363657,0.0,0,195.320455,60.667489,1,113.531037
1504901,Muaná,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3776.063284,0.0,53.91193,1,1,27.534143,0,0,59.441122,0.0,0,329.625149,72.313932,1,27.534106
1504950,Nova Esperança do Piriá,0.0,0.0,489.665697,0.0,312.779272,489.665697,1,0,0,2829.915517,173.031913,7.253874,0,0,43.67362,0,0,75.469576,0.0,0,43.66254,0.0,0,114.759311
