municipality_code,municipality,road_density_km_per_1000_km2,distance_to_mapped_road_km,port_presence,distance_to_port_km,passenger_crossing_presence,distance_to_passenger_crossing_km,navigated_waterway_presence,distance_to_navigated_waterway_km,decea_airport_presence,distance_to_decea_airport_km
1507102,São Caetano de Odivelas,298.922944,0.114293,0,25.228216,0,215.649881,0,32.462847,0,30.48066
1507151,São Domingos do Araguaia,104.819934,3.302095,0,36.796229,0,33.516619,0,59.318562,0,33.509559
1507201,São Domingos do Capim,315.125289,3.418371,1,10.511963,0,151.699088,1,11.194417,0,41.941519
1507300,São Félix do Xingu,36.77757,23.894833,1,104.881397,0,334.003268,0,429.156939,1,21.882916
1507409,São Francisco do Pará,598.771951,0.279937,0,42.182685,0,179.625898,0,40.926504,0,23.435116
1507458,São Geraldo do Araguaia,153.418116,6.724676,0,35.994143,1,34.247218,0,100.872161,0,37.242645
1507466,São João da Ponta,232.667982,1.817172,0,20.552091,0,206.923431,0,40.627074,0,38.335308
1507474,São João de Pirabas,250.071453,0.799531,0,22.008871,0,130.190507,0,99.381556,0,15.447313
1507508,São João do Araguaia,72.896427,6.660453,1,15.395972,1,11.977509,0,53.041215,1,26.784499
1507607,São Miguel do Guamá,374.60492,0.116563,1,16.417459,0,153.485253,1,6.999078,0,48.658342
1507706,São Sebastião da Boa Vista,0.0,56.725485,1,32.747338,0,299.030943,1,35.228747,0,88.192166
1507755,Sapucaia,223.821546,0.9401,0,76.002872,0,50.55806,0,170.075139,1,13.052632
1507805,Senador José Porfírio,9.452961,66.98744,1,134.454012,0,131.983631,1,127.830605,1,66.981844
1507904,Soure,5.989107,29.128818,1,35.859648,0,299.932664,1,36.214875,1,21.9424
1507953,Tailândia,122.429297,1.582194,0,49.993565,0,268.361626,0,50.281149,1,17.5161
1507961,Terra Alta,534.500603,0.482522,0,32.244097,0,192.224367,0,56.144479,0,31.860505
1507979,Terra Santa,37.05161,1.36269,1,19.124955,0,268.026898,1,26.376168,1,17.924996
1508001,Tomé-Açu,198.693604,5.631498,0,57.846486,0,208.425407,0,55.624988,1,22.000683
1508035,Tracuateua,222.829944,0.011616,0,17.904743,0,88.42351,0,89.01561,0,36.4839
1508050,Trairão,68.106535,3.031806,1,35.619224,0,90.170473,0,81.65889,1,83.173982
1508084,Tucumã,296.170683,1.034921,0,67.03339,0,236.354811,0,293.436543,0,30.72747
1508100,Tucuruí,82.554052,6.626699,1,16.711877,0,223.166406,1,16.400387,1,10.053829
1508126,Ulianópolis,239.578983,4.462053,0,99.930643,0,169.773695,0,205.259086,1,8.054289
1508159,Uruará,98.609768,0.729919,0,162.016047,0,232.228724,0,141.109069,0,65.546414
1508209,Vigia,473.048861,0.674754,0,18.740129,0,222.963951,0,28.532794,0,19.118281
1508308,Viseu,145.031706,2.058369,1,54.025999,1,54.332122,0,113.176776,1,36.685216
1508357,Vitória do Xingu,127.573484,7.195035,1,15.662734,1,20.27867,1,12.042159,0,32.144686
1508407,Xinguara,227.649356,2.666246,0,73.519675,1,15.334724,0,165.988619,1,11.064891
