municipality_code,municipality,port_count,port_presence,distance_to_port_km,decea_airport_count,decea_airport_presence,distance_to_decea_airport_km,passenger_crossing_km,passenger_crossing_presence,distance_to_passenger_crossing_km,navigated_waterway_km,navigated_waterway_presence,distance_to_navigated_waterway_km
1508035,Tracuateua,0,0,17.904743,0,0,36.4839,0.0,0,88.42351,0.0,0,89.01561
1508050,Trairão,1,1,35.619224,1,1,83.173982,0.0,0,90.170473,0.0,0,81.65889
1508084,Tucumã,0,0,67.03339,0,0,30.72747,0.0,0,236.354811,0.0,0,293.436543
1508100,Tucuruí,1,1,16.711877,2,1,10.053829,0.0,0,223.166406,61.273897,1,16.400387
1508126,Ulianópolis,0,0,99.930643,3,1,8.054289,0.0,0,169.773695,0.0,0,205.259086
1508159,Uruará,0,0,162.016047,0,0,65.546414,0.0,0,232.228724,0.0,0,141.109069
1508209,Vigia,0,0,18.740129,0,0,19.118281,0.0,0,222.963951,0.0,0,28.532794
1508308,Viseu,2,1,54.025999,1,1,36.685216,2.738413,1,54.332122,0.0,0,113.176776
1508357,Vitória do Xingu,4,1,15.662734,0,0,32.144686,0.112509,1,20.27867,1.600046,1,12.042159
1508407,Xinguara,0,0,73.519675,5,1,11.064891,0.664303,1,15.334724,0.0,0,165.988619
